record_id,old_category,new_category,old_confidence,new_confidence,old_secondary,new_secondary,category_changed,flip_into_qc,flip_out_of_qc
http://zotero.org/users/19517875/items/27ZZDAZU,QUANTUM_SENSING_BIOMED,QUANTUM_SENSING_BIOMED,high,high,,,no,,
http://zotero.org/users/19517875/items/2KTD2SYH,OTHER,OTHER,low,high,,,no,,
http://zotero.org/users/19517875/items/2VDIV29F,CLASSICAL_AI_FOR_IMAGING,(missing),low,,,,,,
http://zotero.org/users/19517875/items/2XDQ7E9J,CLINICAL_NON_IMAGING,CLINICAL_NON_IMAGING,high,high,,,no,,
http://zotero.org/users/19517875/items/35GHZZWS,CLASSICAL_AI_FOR_IMAGING,(missing),high,,,,,,
http://zotero.org/users/19517875/items/3BQQMU3D,OTHER,OTHER,low,high,,,no,,
http://zotero.org/users/19517875/items/3QG5XZRK,OTHER,OTHER,low,high,,,no,,
http://zotero.org/users/19517875/items/4G6HYBPM,CLASSICAL_AI_FOR_IMAGING,CLASSICAL_AI_FOR_IMAGING,low,high,,,no,,
http://zotero.org/users/19517875/items/4QN6NEMM,OTHER,OTHER,low,high,,,no,,
http://zotero.org/users/19517875/items/52KSF5UQ,CLASSICAL_AI_FOR_IMAGING,CLASSICAL_AI_FOR_IMAGING,low,high,,,no,,
http://zotero.org/users/19517875/items/59S7HEXS,OTHER,OTHER,low,high,,,no,,
http://zotero.org/users/19517875/items/5CHQPMLN,CLINICAL_NON_IMAGING,CLASSICAL_AI_FOR_IMAGING,low,high,,,yes,,
http://zotero.org/users/19517875/items/5MVHA8KJ,QUANTUM_DOTS,QUANTUM_DOTS,high,high,,,no,,
http://zotero.org/users/19517875/items/5QRL6JMM,CLINICAL_NON_IMAGING,CLINICAL_NON_IMAGING,low,high,,,no,,
http://zotero.org/users/19517875/items/5SL2QBHY,CLINICAL_NON_IMAGING,CLINICAL_NON_IMAGING,low,high,,,no,,
http://zotero.org/users/19517875/items/5XCDM2NZ,FLUORESCENCE_PROBES,FLUORESCENCE_PROBES,high,high,,,no,,
http://zotero.org/users/19517875/items/68UAPF4N,NANO_THERAPEUTICS,NANO_THERAPEUTICS,high,high,,,no,,
http://zotero.org/users/19517875/items/6AMLGMHS,QUANTUM_DOTS,QUANTUM_DOTS,low,high,,,no,,
http://zotero.org/users/19517875/items/6BWHIRMI,NANO_THERAPEUTICS,(missing),high,,FLUORESCENCE_PROBES,,,,
http://zotero.org/users/19517875/items/6HVS87NG,NANO_THERAPEUTICS,(missing),low,,,,,,
http://zotero.org/users/19517875/items/6UIGVDF6,CLINICAL_NON_IMAGING,CLINICAL_NON_IMAGING,low,high,,,no,,
http://zotero.org/users/19517875/items/6ZDZ3LVX,QUANTUM_DOTS,QUANTUM_DOTS,low,high,,,no,,
http://zotero.org/users/19517875/items/757U733R,OTHER,FLUORESCENCE_PROBES,low,high,,,yes,,
http://zotero.org/users/19517875/items/7GS56EMK,OTHER,OTHER,low,high,,,no,,
http://zotero.org/users/19517875/items/7PVIJMCN,CLINICAL_NON_IMAGING,CLINICAL_NON_IMAGING,low,high,,,no,,
http://zotero.org/users/19517875/items/868YEM9K,OTHER,OTHER,low,high,,,no,,
http://zotero.org/users/19517875/items/89YJ95XU,FLUORESCENCE_PROBES,NANO_THERAPEUTICS,low,high,,,yes,,
http://zotero.org/users/19517875/items/8FL725IV,CLINICAL_NON_IMAGING,CLINICAL_NON_IMAGING,low,high,,,no,,
http://zotero.org/users/19517875/items/8U78K3V6,OTHER,(missing),low,,,,,,
http://zotero.org/users/19517875/items/8V3LD2T6,OTHER,OTHER,low,high,,,no,,
http://zotero.org/users/19517875/items/8XR5EAP2,CLINICAL_NON_IMAGING,CLINICAL_NON_IMAGING,low,high,,,no,,
http://zotero.org/users/19517875/items/93DMXMRK,QC_FOR_IMAGING,QC_FOR_IMAGING,low,high,,,no,,
http://zotero.org/users/19517875/items/97LV89CN,CLINICAL_NON_IMAGING,CLINICAL_NON_IMAGING,low,high,,,no,,
http://zotero.org/users/19517875/items/9EY7IF3R,QUANTUM_INSPIRED_CLASSICAL,QUANTUM_INSPIRED_CLASSICAL,low,high,,,no,,
http://zotero.org/users/19517875/items/9US8NGY6,CLINICAL_NON_IMAGING,CLINICAL_NON_IMAGING,low,high,,,no,,
http://zotero.org/users/19517875/items/A4WDRW8H,FLUORESCENCE_PROBES,FLUORESCENCE_PROBES,low,high,,,no,,
http://zotero.org/users/19517875/items/A5AG5H8L,NANO_THERAPEUTICS,NANO_THERAPEUTICS,low,high,,QUANTUM_DOTS,no,,
http://zotero.org/users/19517875/items/A5KE5WNU,QUANTUM_DOTS,QUANTUM_DOTS,low,high,,,no,,
http://zotero.org/users/19517875/items/AK3GSZSW,CLINICAL_NON_IMAGING,NANO_THERAPEUTICS,low,high,,,yes,,
http://zotero.org/users/19517875/items/AN9V6XJD,OTHER,CLASSICAL_AI_FOR_IMAGING,low,high,,,yes,,
http://zotero.org/users/19517875/items/ANEZXPFW,CLINICAL_NON_IMAGING,CLASSICAL_AI_FOR_IMAGING,low,high,,,yes,,
http://zotero.org/users/19517875/items/AQMW5TDL,CLASSICAL_AI_FOR_IMAGING,CLASSICAL_AI_FOR_IMAGING,low,high,,,no,,
http://zotero.org/users/19517875/items/AUKD8ATS,FLUORESCENCE_PROBES,FLUORESCENCE_PROBES,low,high,,,no,,
http://zotero.org/users/19517875/items/B8XY46UV,OTHER,OTHER,low,high,,,no,,
http://zotero.org/users/19517875/items/BL965L6E,NANO_THERAPEUTICS,NANO_THERAPEUTICS,low,high,,FLUORESCENCE_PROBES,no,,
http://zotero.org/users/19517875/items/BMERDRZ4,CLASSICAL_AI_FOR_IMAGING,CLASSICAL_AI_FOR_IMAGING,low,high,,,no,,
http://zotero.org/users/19517875/items/CK6THTFB,FLUORESCENCE_PROBES,FLUORESCENCE_PROBES,low,high,,,no,,
http://zotero.org/users/19517875/items/CRQXYW69,CLASSICAL_AI_FOR_IMAGING,CLASSICAL_AI_FOR_IMAGING,low,high,,,no,,
http://zotero.org/users/19517875/items/D4IG9FMM,QUANTUM_DOTS,QUANTUM_DOTS,high,high,NANO_THERAPEUTICS,,no,,
http://zotero.org/users/19517875/items/DA6K9W84,OTHER,OTHER,low,high,,,no,,
http://zotero.org/users/19517875/items/DIQG4X87,NANO_THERAPEUTICS,FLUORESCENCE_PROBES,low,high,,,yes,,
http://zotero.org/users/19517875/items/DKXANDQZ,NANO_THERAPEUTICS,NANO_THERAPEUTICS,low,high,,,no,,
http://zotero.org/users/19517875/items/DS94LZ6U,OTHER,OTHER,low,high,,,no,,
http://zotero.org/users/19517875/items/DTERKJ6J,QUANTUM_DOTS,QUANTUM_DOTS,low,high,,,no,,
http://zotero.org/users/19517875/items/DVSP2FT6,CLASSICAL_AI_FOR_IMAGING,CLASSICAL_AI_FOR_IMAGING,low,high,,,no,,
http://zotero.org/users/19517875/items/E3XJFSVX,QUANTUM_SENSING_BIOMED,QUANTUM_SENSING_BIOMED,high,high,,,no,,
http://zotero.org/users/19517875/items/EBS5QNW2,QC_FOR_IMAGING,QC_FOR_IMAGING,low,high,,,no,,
http://zotero.org/users/19517875/items/EEIN3VFX,FLUORESCENCE_PROBES,FLUORESCENCE_PROBES,low,high,,,no,,
http://zotero.org/users/19517875/items/EQELE7VC,OTHER,OTHER,low,low,,,no,,
http://zotero.org/users/19517875/items/ESGWXG5E,CLINICAL_NON_IMAGING,NANO_THERAPEUTICS,low,high,,,yes,,
http://zotero.org/users/19517875/items/F7GYMXG4,CLINICAL_NON_IMAGING,CLINICAL_NON_IMAGING,low,high,,,no,,
http://zotero.org/users/19517875/items/FKCVVU9R,QUANTUM_DOTS,QUANTUM_DOTS,high,high,,,no,,
http://zotero.org/users/19517875/items/G9V7LXA3,CLINICAL_NON_IMAGING,CLINICAL_NON_IMAGING,low,high,,,no,,
http://zotero.org/users/19517875/items/GSYRLQ4Q,CLINICAL_NON_IMAGING,CLASSICAL_AI_FOR_IMAGING,low,high,,,yes,,
http://zotero.org/users/19517875/items/HCMCJZPA,FLUORESCENCE_PROBES,FLUORESCENCE_PROBES,low,high,,,no,,
http://zotero.org/users/19517875/items/HIN43CA2,CLASSICAL_AI_FOR_IMAGING,CLASSICAL_AI_FOR_IMAGING,low,high,,,no,,
http://zotero.org/users/19517875/items/HMJ8VUWA,NANO_THERAPEUTICS,NANO_THERAPEUTICS,low,high,,,no,,
http://zotero.org/users/19517875/items/HMQMRWYK,FLUORESCENCE_PROBES,FLUORESCENCE_PROBES,low,high,,,no,,
http://zotero.org/users/19517875/items/HT59ZH8L,OTHER,CLASSICAL_AI_FOR_IMAGING,low,high,,,yes,,
http://zotero.org/users/19517875/items/HY8PVC24,CLINICAL_NON_IMAGING,CLASSICAL_AI_FOR_IMAGING,low,high,,,yes,,
http://zotero.org/users/19517875/items/I8D2LV4S,FLUORESCENCE_PROBES,CLINICAL_NON_IMAGING,low,high,,,yes,,
http://zotero.org/users/19517875/items/ITDS83YU,CLINICAL_NON_IMAGING,CLINICAL_NON_IMAGING,low,high,,,no,,
http://zotero.org/users/19517875/items/J5NRBEVG,FLUORESCENCE_PROBES,FLUORESCENCE_PROBES,low,high,,,no,,
http://zotero.org/users/19517875/items/JJAC68DC,OTHER,CLASSICAL_AI_FOR_IMAGING,low,high,,,yes,,
http://zotero.org/users/19517875/items/KTJAKU68,CLINICAL_NON_IMAGING,CLINICAL_NON_IMAGING,low,high,,,no,,
http://zotero.org/users/19517875/items/LTGGF5AM,NANO_THERAPEUTICS,NANO_THERAPEUTICS,high,high,,,no,,
http://zotero.org/users/19517875/items/LV9PW6BI,CLINICAL_NON_IMAGING,OTHER,low,high,,,yes,,
http://zotero.org/users/19517875/items/MLQYKURQ,OTHER,CLINICAL_NON_IMAGING,low,high,,,yes,,
http://zotero.org/users/19517875/items/NQY9UU2V,QUANTUM_DOTS,QUANTUM_DOTS,high,high,,,no,,
http://zotero.org/users/19517875/items/P2KUS73C,CLINICAL_NON_IMAGING,CLASSICAL_AI_FOR_IMAGING,low,high,,,yes,,
http://zotero.org/users/19517875/items/P8EYWXGN,OTHER,FLUORESCENCE_PROBES,low,high,,,yes,,
http://zotero.org/users/19517875/items/PAYHFE8W,NANO_THERAPEUTICS,FLUORESCENCE_PROBES,low,high,FLUORESCENCE_PROBES,,yes,,
http://zotero.org/users/19517875/items/PIPP2CYC,OTHER,OTHER,low,high,,,no,,
http://zotero.org/users/19517875/items/QC8ITBG3,OTHER,NANO_THERAPEUTICS,low,high,,,yes,,
http://zotero.org/users/19517875/items/QDTTVLEA,QUANTUM_DOTS,QUANTUM_DOTS,high,high,,,no,,
http://zotero.org/users/19517875/items/QEAHZ483,CLINICAL_NON_IMAGING,CLINICAL_NON_IMAGING,low,high,,,no,,
http://zotero.org/users/19517875/items/QFQUZQP4,OTHER,OTHER,low,high,,,no,,
http://zotero.org/users/19517875/items/QHI9DAHC,CLINICAL_NON_IMAGING,CLASSICAL_AI_FOR_IMAGING,low,high,,,yes,,
http://zotero.org/users/19517875/items/QNQKDDAD,OTHER,OTHER,low,high,,,no,,
http://zotero.org/users/19517875/items/RJWAIYB9,CLINICAL_NON_IMAGING,CLINICAL_NON_IMAGING,low,high,,,no,,
http://zotero.org/users/19517875/items/RNYJ7ZI9,CLINICAL_NON_IMAGING,CLASSICAL_AI_FOR_IMAGING,low,high,,,yes,,
http://zotero.org/users/19517875/items/RS4G6GP2,CLINICAL_NON_IMAGING,CLINICAL_NON_IMAGING,low,high,,,no,,
http://zotero.org/users/19517875/items/RWNSHAUR,OTHER,OTHER,high,high,,,no,,
