doi,record_id,action,reason,old_chars,new_chars
10.1016/j.redox.2022.102279,http://zotero.org/users/19517875/items/27ZZDAZU,added,ok,0,266
10.18280/ts.420531,http://zotero.org/users/19517875/items/EBS5QNW2,added,ok,0,4033
10.1016/j.aej.2025.12.007,http://zotero.org/users/19517875/items/93DMXMRK,added,ok,0,1918
10.1117/1.jmi.9.s1.012205,http://zotero.org/users/19517875/items/2KTD2SYH,added,ok,0,419
10.1016/j.patcog.2024.110676,http://zotero.org/users/19517875/items/9EY7IF3R,added,ok,0,918
10.1016/j.cclet.2022.107998,http://zotero.org/users/19517875/items/QDTTVLEA,added,ok,0,2290
10.1021/acsami.2c06503,http://zotero.org/users/19517875/items/LTGGF5AM,added,ok,0,1559
10.1016/j.jlumin.2023.119785,http://zotero.org/users/19517875/items/NQY9UU2V,added,ok,0,963
10.1021/cbmi.3c00006,http://zotero.org/users/19517875/items/5MVHA8KJ,added,ok,0,1230
10.2967/jnmt.122.264058,http://zotero.org/users/19517875/items/UVZRB6WR,added,ok,0,3000
10.1148/radiol.211931,http://zotero.org/users/19517875/items/AN9V6XJD,added,ok,0,1284
10.1007/s40042-022-00571-2,http://zotero.org/users/19517875/items/52KSF5UQ,added,ok,0,1316
10.1016/j.jpha.2024.100969,http://zotero.org/users/19517875/items/D4IG9FMM,added,ok,0,1594
10.1016/j.indcrop.2025.121659,http://zotero.org/users/19517875/items/HMQMRWYK,added,ok,0,1396
10.7150/thno.108880,http://zotero.org/users/19517875/items/UH7J59AQ,added,ok,0,495
10.1007/s40843-022-2143-2,http://zotero.org/users/19517875/items/6BWHIRMI,added,ok,0,2707
10.7150/thno.103272,http://zotero.org/users/19517875/items/ZAGXS5XY,added,ok,0,314
10.1021/acsmedchemlett.5c00649,http://zotero.org/users/19517875/items/5SL2QBHY,added,ok,0,1150
10.1016/j.molstruc.2024.139262,http://zotero.org/users/19517875/items/5XCDM2NZ,added,ok,0,1404
10.1016/j.optmat.2023.113759,http://zotero.org/users/19517875/items/AUKD8ATS,added,ok,0,1878
10.1021/acsami.5c14860,http://zotero.org/users/19517875/items/PAYHFE8W,added,ok,0,1450
10.1021/acsomega.3c04596,http://zotero.org/users/19517875/items/TMEZX6LH,added,ok,0,1208
10.1007/s40843-023-2649-1,http://zotero.org/users/19517875/items/4QN6NEMM,added,ok,0,3391
10.1021/acsnano.4c06753,http://zotero.org/users/19517875/items/68UAPF4N,added,ok,0,1868
10.1021/cbmi.4c00080,http://zotero.org/users/19517875/items/8V3LD2T6,added,ok,0,1668
10.1186/s41181-025-00338-7,http://zotero.org/users/19517875/items/7PVIJMCN,added,ok,0,803
10.2967/jnmt.122.265328,http://zotero.org/users/19517875/items/HY8PVC24,added,ok,0,3000
10.1021/acs.jmedchem.5c02216,http://zotero.org/users/19517875/items/2XDQ7E9J,added,ok,0,933
10.1021/acssensors.4c00118,http://zotero.org/users/19517875/items/E3XJFSVX,added,ok,0,1048
10.1021/acsomega.4c03214,http://zotero.org/users/19517875/items/8FL725IV,added,ok,0,2318
10.1016/j.neuroimage.2022.119763,http://zotero.org/users/19517875/items/QHI9DAHC,added,ok,0,1999
10.1016/j.matt.2022.07.032,http://zotero.org/users/19517875/items/6ZDZ3LVX,added,ok,0,2931
10.1038/s41598-025-93520-5,http://zotero.org/users/19517875/items/RS4G6GP2,added,ok,0,1364
10.1021/acsami.3c19226,http://zotero.org/users/19517875/items/P8EYWXGN,added,ok,0,1892
10.1021/acs.jpcc.3c01128,http://zotero.org/users/19517875/items/3BQQMU3D,added,ok,0,1779
10.1016/j.isci.2024.111234,http://zotero.org/users/19517875/items/ZYPUZ3H7,added,ok,0,1160
10.1007/s11082-023-05906-2,http://zotero.org/users/19517875/items/WDZE9RZE,added,ok,0,840
10.1038/s41467-025-66211-y,http://zotero.org/users/19517875/items/QNQKDDAD,added,ok,0,1135
10.1016/j.heliyon.2024.e25864,http://zotero.org/users/19517875/items/DA6K9W84,added,ok,0,915
10.1021/acsomega.4c04077,http://zotero.org/users/19517875/items/B8XY46UV,added,ok,0,1341
10.1021/acsmedchemlett.5c00385,http://zotero.org/users/19517875/items/YYWTJ9ZZ,added,ok,0,1468
10.1021/acs.inorgchem.1c03972,http://zotero.org/users/19517875/items/DKXANDQZ,added,ok,0,3056
10.1021/acscatal.5c00011,http://zotero.org/users/19517875/items/DS94LZ6U,added,ok,0,1831
