record_id,doi,rdf_file,item_id,pdf_relpath,pdf_abs_path,pdf_exists,pdf_size_bytes,match_status,matched_by
http://zotero.org/users/19517875/items/M82VZGTX,10.1016/j.ccell.2023.04.008,/home/lpapp/IEEE_SYS_REV/PDFs/IEEE-QC-NoDulicates-1501-2000/IEEE-QC-NoDulicates-1501-2000.rdf,15518,files/15518/Magbanua et al. - 2023 - Clinical significance and biology of circulating tumor DNA in high-risk early-stage HER2-negative br.pdf,/home/lpapp/IEEE_SYS_REV/PDFs/IEEE-QC-NoDulicates-1501-2000/files/15518/Magbanua et al. - 2023 - Clinical significance and biology of circulating tumor DNA in high-risk early-stage HER2-negative br.pdf,True,11001737,matched,title
http://zotero.org/users/19517875/items/43BE3C4Q,10.1103/physreva.108.062610,/home/lpapp/IEEE_SYS_REV/PDFs/IEEE-QC-NoDulicates-1501-2000/IEEE-QC-NoDulicates-1501-2000.rdf,15520,files/15520/Meraki et al. - 2023 - Zero-field optical magnetometer based on spin alignment.pdf,/home/lpapp/IEEE_SYS_REV/PDFs/IEEE-QC-NoDulicates-1501-2000/files/15520/Meraki et al. - 2023 - Zero-field optical magnetometer based on spin alignment.pdf,True,7277418,matched,doi
http://zotero.org/users/19517875/items/8X3K3S8T,10.1039/d5dt01894c,/home/lpapp/IEEE_SYS_REV/PDFs/IEEE-QC-NoDulicates-1501-2000/IEEE-QC-NoDulicates-1501-2000.rdf,18604,files/18604/Lahm et al. - 2025 - ICG revisited excited-state dynamics as a function of dye concentration and solvent environment.pdf,/home/lpapp/IEEE_SYS_REV/PDFs/IEEE-QC-NoDulicates-1501-2000/files/18604/Lahm et al. - 2025 - ICG revisited excited-state dynamics as a function of dye concentration and solvent environment.pdf,True,2443373,matched,title
http://zotero.org/users/19517875/items/GGFDJ6CU,10.1002/anie.202211450,/home/lpapp/IEEE_SYS_REV/PDFs/IEEE-QC-NoDulicates-1501-2000/IEEE-QC-NoDulicates-1501-2000.rdf,15523,files/15523/Shi et al. - 2022 - Mechanistic Origin of Favorable Substituent Effects in Excellent Cu Cyclam Based HNO Sensors.pdf,/home/lpapp/IEEE_SYS_REV/PDFs/IEEE-QC-NoDulicates-1501-2000/files/15523/Shi et al. - 2022 - Mechanistic Origin of Favorable Substituent Effects in Excellent Cu Cyclam Based HNO Sensors.pdf,True,1150471,matched,doi
http://zotero.org/users/19517875/items/HVT86ZVM,10.1002/alz.70195,/home/lpapp/IEEE_SYS_REV/PDFs/IEEE-QC-NoDulicates-1501-2000/IEEE-QC-NoDulicates-1501-2000.rdf,18500,files/18500/Kurose et al. - 2025 - Diverse tau pathologies in late‐life mood disorders revealed by PET and autopsy assays.pdf,/home/lpapp/IEEE_SYS_REV/PDFs/IEEE-QC-NoDulicates-1501-2000/files/18500/Kurose et al. - 2025 - Diverse tau pathologies in late‐life mood disorders revealed by PET and autopsy assays.pdf,True,4623580,matched,doi
http://zotero.org/users/19517875/items/YDGN3FH8,10.1111/acer.15495,,,,,False,0,no_match,
http://zotero.org/users/19517875/items/USNEVESN,10.1126/sciadv.adz1820,/home/lpapp/IEEE_SYS_REV/PDFs/IEEE-QC-NoDulicates-1501-2000/IEEE-QC-NoDulicates-1501-2000.rdf,19314,files/19314/Park et al. - 2025 - Rapid cancer diagnosis using deep learning–powered label-free subcellular-resolution photoacoustic h.pdf,/home/lpapp/IEEE_SYS_REV/PDFs/IEEE-QC-NoDulicates-1501-2000/files/19314/Park et al. - 2025 - Rapid cancer diagnosis using deep learning–powered label-free subcellular-resolution photoacoustic h.pdf,True,2790214,matched,doi
http://zotero.org/users/19517875/items/WNE25VGT,10.1186/s13036-025-00563-3,/home/lpapp/IEEE_SYS_REV/PDFs/IEEE-QC-NoDulicates-1501-2000/IEEE-QC-NoDulicates-1501-2000.rdf,18587,files/18587/Noorkhajavi et al. - 2025 - Bioimaging application and growth-promoting behavior of Auxin-derived carbon dots on cancer cell and.pdf,/home/lpapp/IEEE_SYS_REV/PDFs/IEEE-QC-NoDulicates-1501-2000/files/18587/Noorkhajavi et al. - 2025 - Bioimaging application and growth-promoting behavior of Auxin-derived carbon dots on cancer cell and.pdf,True,2878552,matched,doi
http://zotero.org/users/19517875/items/CNKP2BAA,10.1002/anie.202311224,/home/lpapp/IEEE_SYS_REV/PDFs/IEEE-QC-NoDulicates-1501-2000/IEEE-QC-NoDulicates-1501-2000.rdf,18496,files/18496/Lu et al. - 2023 - Supra‐Cyanines Ultrabright Cyanine‐Based Fluorescent Supramolecular Materials in Solution and in th.pdf,/home/lpapp/IEEE_SYS_REV/PDFs/IEEE-QC-NoDulicates-1501-2000/files/18496/Lu et al. - 2023 - Supra‐Cyanines Ultrabright Cyanine‐Based Fluorescent Supramolecular Materials in Solution and in th.pdf,True,2638349,matched,doi
http://zotero.org/users/19517875/items/9YRV64H5,10.3389/fvets.2025.1548757,/home/lpapp/IEEE_SYS_REV/PDFs/IEEE-QC-NoDulicates-1501-2000/IEEE-QC-NoDulicates-1501-2000.rdf,18591,files/18591/Mineshige et al. - 2025 - Prevalence of major diseases in common marmosets (Callithrix jacchus) at the Central Institute for M.pdf,/home/lpapp/IEEE_SYS_REV/PDFs/IEEE-QC-NoDulicates-1501-2000/files/18591/Mineshige et al. - 2025 - Prevalence of major diseases in common marmosets (Callithrix jacchus) at the Central Institute for M.pdf,True,2276963,matched,title
http://zotero.org/users/19517875/items/358RU6CA,10.1002/anie.202408300,/home/lpapp/IEEE_SYS_REV/PDFs/IEEE-QC-NoDulicates-1501-2000/IEEE-QC-NoDulicates-1501-2000.rdf,18476,files/18476/Roßmann et al. - 2024 - Deuteration as a General Strategy to Enhance Azobenzene‐Based Photopharmacology.pdf,/home/lpapp/IEEE_SYS_REV/PDFs/IEEE-QC-NoDulicates-1501-2000/files/18476/Roßmann et al. - 2024 - Deuteration as a General Strategy to Enhance Azobenzene‐Based Photopharmacology.pdf,True,1348704,matched,doi
http://zotero.org/users/19517875/items/2P9XXFV5,10.1038/s41467-023-40925-3,/home/lpapp/IEEE_SYS_REV/PDFs/IEEE-QC-NoDulicates-1501-2000/IEEE-QC-NoDulicates-1501-2000.rdf,15532,files/15532/Kim et al. - 2023 - Drug classification with a spectral barcode obtained with a smartphone Raman spectrometer.pdf,/home/lpapp/IEEE_SYS_REV/PDFs/IEEE-QC-NoDulicates-1501-2000/files/15532/Kim et al. - 2023 - Drug classification with a spectral barcode obtained with a smartphone Raman spectrometer.pdf,True,1625869,matched,title
http://zotero.org/users/19517875/items/L3X5E6KH,10.1140/epjp/s13360-022-03159-8,/home/lpapp/IEEE_SYS_REV/PDFs/IEEE-QC-NoDulicates-1501-2000/IEEE-QC-NoDulicates-1501-2000.rdf,15534,files/15534/Lecoq - 2022 - On the way to the 10 ps time-of-flight PET challenge.pdf,/home/lpapp/IEEE_SYS_REV/PDFs/IEEE-QC-NoDulicates-1501-2000/files/15534/Lecoq - 2022 - On the way to the 10 ps time-of-flight PET challenge.pdf,True,1417264,matched,doi
http://zotero.org/users/19517875/items/PEDSQWUG,10.1021/acsaom.4c00475,/home/lpapp/IEEE_SYS_REV/PDFs/IEEE-QC-NoDulicates-1501-2000/IEEE-QC-NoDulicates-1501-2000.rdf,15536,files/15536/Mirzanezhad et al. - 2025 - Spectral Performance of Multilayer Amorphous Selenium and Selenium–Tellurium Photodetectors.pdf,/home/lpapp/IEEE_SYS_REV/PDFs/IEEE-QC-NoDulicates-1501-2000/files/15536/Mirzanezhad et al. - 2025 - Spectral Performance of Multilayer Amorphous Selenium and Selenium–Tellurium Photodetectors.pdf,True,4981510,matched,doi
http://zotero.org/users/19517875/items/NV85QPYD,10.1016/j.cclet.2023.108311,/home/lpapp/IEEE_SYS_REV/PDFs/IEEE-QC-NoDulicates-1501-2000/IEEE-QC-NoDulicates-1501-2000.rdf,18922,files/18922/Dong et al. - 2023 - Synthesis and properties of binaphthyl chiral thermally activated delayed fluorescence molecules usi.pdf,/home/lpapp/IEEE_SYS_REV/PDFs/IEEE-QC-NoDulicates-1501-2000/files/18922/Dong et al. - 2023 - Synthesis and properties of binaphthyl chiral thermally activated delayed fluorescence molecules usi.pdf,True,1809023,matched,title
http://zotero.org/users/19517875/items/BW65TL5H,10.1016/j.physe.2024.116146,/home/lpapp/IEEE_SYS_REV/PDFs/IEEE-QC-NoDulicates-1501-2000/IEEE-QC-NoDulicates-1501-2000.rdf,18917,files/18917/Guvendi et al. - 2025 - Photonic modes in twisted graphene nanoribbons.pdf,/home/lpapp/IEEE_SYS_REV/PDFs/IEEE-QC-NoDulicates-1501-2000/files/18917/Guvendi et al. - 2025 - Photonic modes in twisted graphene nanoribbons.pdf,True,669615,matched,title
http://zotero.org/users/19517875/items/I8AVVKBD,10.12771/emj.2025.00094,/home/lpapp/IEEE_SYS_REV/PDFs/IEEE-QC-NoDulicates-1501-2000/IEEE-QC-NoDulicates-1501-2000.rdf,18926,files/18926/Choi et al. - 2025 - Development of automatic organ segmentation based on positron-emission tomography analysis system us.pdf,/home/lpapp/IEEE_SYS_REV/PDFs/IEEE-QC-NoDulicates-1501-2000/files/18926/Choi et al. - 2025 - Development of automatic organ segmentation based on positron-emission tomography analysis system us.pdf,True,1640524,matched,doi
http://zotero.org/users/19517875/items/SGQI5485,10.3390/nano12091476,/home/lpapp/IEEE_SYS_REV/PDFs/IEEE-QC-NoDulicates-1501-2000/IEEE-QC-NoDulicates-1501-2000.rdf,15541,files/15541/Veres et al. - 2022 - An Implantable Magneto-Responsive Poly(aspartamide) Based Electrospun Scaffold for Hyperthermia Trea.pdf,/home/lpapp/IEEE_SYS_REV/PDFs/IEEE-QC-NoDulicates-1501-2000/files/15541/Veres et al. - 2022 - An Implantable Magneto-Responsive Poly(aspartamide) Based Electrospun Scaffold for Hyperthermia Trea.pdf,True,2504386,matched,title
http://zotero.org/users/19517875/items/QGI6456E,10.1002/cbic.202400415,/home/lpapp/IEEE_SYS_REV/PDFs/IEEE-QC-NoDulicates-1501-2000/IEEE-QC-NoDulicates-1501-2000.rdf,15543,files/15543/Choi et al. - 2024 - Bora‐Diaza‐Indacene Based Fluorescent Probes for Simultaneous Visualisation of Lipid Droplets and En.pdf,/home/lpapp/IEEE_SYS_REV/PDFs/IEEE-QC-NoDulicates-1501-2000/files/15543/Choi et al. - 2024 - Bora‐Diaza‐Indacene Based Fluorescent Probes for Simultaneous Visualisation of Lipid Droplets and En.pdf,True,2336684,matched,doi
http://zotero.org/users/19517875/items/GX325UK5,10.1103/physrevresearch.6.033272,/home/lpapp/IEEE_SYS_REV/PDFs/IEEE-QC-NoDulicates-1501-2000/IEEE-QC-NoDulicates-1501-2000.rdf,15545,files/15545/Takanami et al. - 2024 - Detection of diffusion anisotropy from an individual short particle trajectory.pdf,/home/lpapp/IEEE_SYS_REV/PDFs/IEEE-QC-NoDulicates-1501-2000/files/15545/Takanami et al. - 2024 - Detection of diffusion anisotropy from an individual short particle trajectory.pdf,True,3825069,matched,doi
http://zotero.org/users/19517875/items/2YAPSJL4,10.1016/j.heliyon.2023.e12800,/home/lpapp/IEEE_SYS_REV/PDFs/IEEE-QC-NoDulicates-1501-2000/IEEE-QC-NoDulicates-1501-2000.rdf,18841,files/18841/Xue et al. - 2023 - Analysis of the effects of concentrated growth factor and low-level laser therapy on the bone healin.pdf,/home/lpapp/IEEE_SYS_REV/PDFs/IEEE-QC-NoDulicates-1501-2000/files/18841/Xue et al. - 2023 - Analysis of the effects of concentrated growth factor and low-level laser therapy on the bone healin.pdf,True,4126021,matched,title
http://zotero.org/users/19517875/items/9VAB7PPD,10.1109/jstqe.2025.3635031,,,,,False,0,no_match,
http://zotero.org/users/19517875/items/ILS6F3P7,10.1002/chem.202402911,/home/lpapp/IEEE_SYS_REV/PDFs/IEEE-QC-NoDulicates-1501-2000/IEEE-QC-NoDulicates-1501-2000.rdf,18527,files/18527/De Maissin et al. - 2025 - Overcoming the Challenges of Hyperpolarizing Substrates with Parahydrogen‐Induced Polarization in an.pdf,/home/lpapp/IEEE_SYS_REV/PDFs/IEEE-QC-NoDulicates-1501-2000/files/18527/De Maissin et al. - 2025 - Overcoming the Challenges of Hyperpolarizing Substrates with Parahydrogen‐Induced Polarization in an.pdf,True,4324505,matched,doi
http://zotero.org/users/19517875/items/7ZSY7CN9,10.1167/tvst.12.3.4,/home/lpapp/IEEE_SYS_REV/PDFs/IEEE-QC-NoDulicates-1501-2000/IEEE-QC-NoDulicates-1501-2000.rdf,15550,files/15550/Siewert et al. - 2023 - Development of a Novel Valve-Controlled Drug-Elutable Microstent for Microinvasive Glaucoma Surgery.pdf,/home/lpapp/IEEE_SYS_REV/PDFs/IEEE-QC-NoDulicates-1501-2000/files/15550/Siewert et al. - 2023 - Development of a Novel Valve-Controlled Drug-Elutable Microstent for Microinvasive Glaucoma Surgery.pdf,True,2632659,matched,title
http://zotero.org/users/19517875/items/HZAFISBL,10.1016/j.mtbio.2025.102362,/home/lpapp/IEEE_SYS_REV/PDFs/IEEE-QC-NoDulicates-1501-2000/IEEE-QC-NoDulicates-1501-2000.rdf,18873,files/18873/Wu et al. - 2025 - Rational design of ultrabright NIR-II nanofluorophores with enhanced photothermal conversion efficie.pdf,/home/lpapp/IEEE_SYS_REV/PDFs/IEEE-QC-NoDulicates-1501-2000/files/18873/Wu et al. - 2025 - Rational design of ultrabright NIR-II nanofluorophores with enhanced photothermal conversion efficie.pdf,True,13147734,matched,title
http://zotero.org/users/19517875/items/RCNKFIKP,10.1186/s43591-024-00108-3,/home/lpapp/IEEE_SYS_REV/PDFs/IEEE-QC-NoDulicates-1501-2000/IEEE-QC-NoDulicates-1501-2000.rdf,18630,files/18630/Badzoka et al. - 2025 - Enabling analytical precision in microplastic analysis innovative solutions for precise method vali.pdf,/home/lpapp/IEEE_SYS_REV/PDFs/IEEE-QC-NoDulicates-1501-2000/files/18630/Badzoka et al. - 2025 - Enabling analytical precision in microplastic analysis innovative solutions for precise method vali.pdf,True,1413185,matched,doi
http://zotero.org/users/19517875/items/MITIYKIA,10.1039/d2sc05454j,/home/lpapp/IEEE_SYS_REV/PDFs/IEEE-QC-NoDulicates-1501-2000/IEEE-QC-NoDulicates-1501-2000.rdf,15554,files/15554/Wang et al. - 2023 - Acene enlargement for absorption red-shifting and photosensitization enhancement of photosensitizers.pdf,/home/lpapp/IEEE_SYS_REV/PDFs/IEEE-QC-NoDulicates-1501-2000/files/15554/Wang et al. - 2023 - Acene enlargement for absorption red-shifting and photosensitization enhancement of photosensitizers.pdf,True,2286687,matched,title
http://zotero.org/users/19517875/items/AM7IGLKF,10.7554/elife.94561,/home/lpapp/IEEE_SYS_REV/PDFs/IEEE-QC-NoDulicates-1501-2000/IEEE-QC-NoDulicates-1501-2000.rdf,15556,files/15556/Rier et al. - 2024 - Tracking the neurodevelopmental trajectory of beta band oscillations with optically pumped magnetome.pdf,/home/lpapp/IEEE_SYS_REV/PDFs/IEEE-QC-NoDulicates-1501-2000/files/15556/Rier et al. - 2024 - Tracking the neurodevelopmental trajectory of beta band oscillations with optically pumped magnetome.pdf,True,2735451,matched,title
http://zotero.org/users/19517875/items/9Z4PV9VQ,10.1021/acs.analchem.5c04730,/home/lpapp/IEEE_SYS_REV/PDFs/IEEE-QC-NoDulicates-1501-2000/IEEE-QC-NoDulicates-1501-2000.rdf,18454,files/18454/Wisanpitayakorn et al. - 2025 - Spatial Mapping of Stereoisomeric and Isobaric Alkaloids in Mitragyna speciosa Tissues by Hig.pdf,/home/lpapp/IEEE_SYS_REV/PDFs/IEEE-QC-NoDulicates-1501-2000/files/18454/Wisanpitayakorn et al. - 2025 - Spatial Mapping of Stereoisomeric and Isobaric Alkaloids in Mitragyna speciosa Tissues by Hig.pdf,True,7571719,matched,doi
http://zotero.org/users/19517875/items/N7EHGT9T,10.1002/jbio.202200141,/home/lpapp/IEEE_SYS_REV/PDFs/IEEE-QC-NoDulicates-1501-2000/IEEE-QC-NoDulicates-1501-2000.rdf,15559,"files/15559/Wood et al. - 2023 - Tri‐mode optical biopsy probe with fluorescence endomicroscopy, Raman spectroscopy, and time‐resolve.pdf","/home/lpapp/IEEE_SYS_REV/PDFs/IEEE-QC-NoDulicates-1501-2000/files/15559/Wood et al. - 2023 - Tri‐mode optical biopsy probe with fluorescence endomicroscopy, Raman spectroscopy, and time‐resolve.pdf",True,3134497,matched,doi
http://zotero.org/users/19517875/items/ZWCBCFI6,10.3389/fchem.2022.920123,/home/lpapp/IEEE_SYS_REV/PDFs/IEEE-QC-NoDulicates-1501-2000/IEEE-QC-NoDulicates-1501-2000.rdf,15561,files/15561/Ding et al. - 2022 - Fluorescence Detection of Cancer Stem Cell Markers Using a Sensitive Nano-Aptamer Sensor.pdf,/home/lpapp/IEEE_SYS_REV/PDFs/IEEE-QC-NoDulicates-1501-2000/files/15561/Ding et al. - 2022 - Fluorescence Detection of Cancer Stem Cell Markers Using a Sensitive Nano-Aptamer Sensor.pdf,True,1865284,matched,title
http://zotero.org/users/19517875/items/E57AVES7,10.1161/jaha.122.026901,/home/lpapp/IEEE_SYS_REV/PDFs/IEEE-QC-NoDulicates-1501-2000/IEEE-QC-NoDulicates-1501-2000.rdf,15563,"files/15563/Yu et al. - 2023 - Soluble Epoxide Hydrolase Derived Linoleic Acid Oxylipins, Small Vessel Disease Markers, and Neurode.pdf","/home/lpapp/IEEE_SYS_REV/PDFs/IEEE-QC-NoDulicates-1501-2000/files/15563/Yu et al. - 2023 - Soluble Epoxide Hydrolase Derived Linoleic Acid Oxylipins, Small Vessel Disease Markers, and Neurode.pdf",True,3188699,matched,doi
http://zotero.org/users/19517875/items/IVYJ5CXK,10.1136/bmjopen-2021-056424,/home/lpapp/IEEE_SYS_REV/PDFs/IEEE-QC-NoDulicates-1501-2000/IEEE-QC-NoDulicates-1501-2000.rdf,15565,files/15565/Okonogi et al. - 2022 - Phase Ib study of durvalumab (MEDI4736) in combination with carbon-ion radiotherapy and weekly cispl.pdf,/home/lpapp/IEEE_SYS_REV/PDFs/IEEE-QC-NoDulicates-1501-2000/files/15565/Okonogi et al. - 2022 - Phase Ib study of durvalumab (MEDI4736) in combination with carbon-ion radiotherapy and weekly cispl.pdf,True,762676,matched,doi
http://zotero.org/users/19517875/items/7ZX5AU5P,10.1002/qua.27391,/home/lpapp/IEEE_SYS_REV/PDFs/IEEE-QC-NoDulicates-1501-2000/IEEE-QC-NoDulicates-1501-2000.rdf,15567,files/15567/Awan et al. - 2024 - QSPR analysis for physiochemical properties of new potential antimalarial compounds involving topolo.pdf,/home/lpapp/IEEE_SYS_REV/PDFs/IEEE-QC-NoDulicates-1501-2000/files/15567/Awan et al. - 2024 - QSPR analysis for physiochemical properties of new potential antimalarial compounds involving topolo.pdf,True,3103682,matched,doi
http://zotero.org/users/19517875/items/P2VNRNG8,10.7150/thno.97968,/home/lpapp/IEEE_SYS_REV/PDFs/IEEE-QC-NoDulicates-1501-2000/IEEE-QC-NoDulicates-1501-2000.rdf,15569,files/15569/Liu et al. - 2024 - Intraductal photothermal ablation a noninvasive approach for early breast cancer treatment and prev.pdf,/home/lpapp/IEEE_SYS_REV/PDFs/IEEE-QC-NoDulicates-1501-2000/files/15569/Liu et al. - 2024 - Intraductal photothermal ablation a noninvasive approach for early breast cancer treatment and prev.pdf,True,7434335,matched,title
http://zotero.org/users/19517875/items/9JHTS9XL,10.1186/s13550-025-01296-6,/home/lpapp/IEEE_SYS_REV/PDFs/IEEE-QC-NoDulicates-1501-2000/IEEE-QC-NoDulicates-1501-2000.rdf,18577,files/18577/Suzuki et al. - 2025 - Neuropathological correlations of 18F-florzolotau PET in a case with Pick’s disease.pdf,/home/lpapp/IEEE_SYS_REV/PDFs/IEEE-QC-NoDulicates-1501-2000/files/18577/Suzuki et al. - 2025 - Neuropathological correlations of 18F-florzolotau PET in a case with Pick’s disease.pdf,True,11454555,matched,doi
http://zotero.org/users/19517875/items/BL4NNIM3,10.3390/c11030048,/home/lpapp/IEEE_SYS_REV/PDFs/IEEE-QC-NoDulicates-1501-2000/IEEE-QC-NoDulicates-1501-2000.rdf,18560,files/18560/Zhang et al. - 2025 - Mechanism of Fluorescence Characteristics and Application of Zinc-Doped Carbon Dots Synthesized by U.pdf,/home/lpapp/IEEE_SYS_REV/PDFs/IEEE-QC-NoDulicates-1501-2000/files/18560/Zhang et al. - 2025 - Mechanism of Fluorescence Characteristics and Application of Zinc-Doped Carbon Dots Synthesized by U.pdf,True,2814496,matched,title
http://zotero.org/users/19517875/items/MPGGLNU7,10.1016/j.nxsust.2025.100169,/home/lpapp/IEEE_SYS_REV/PDFs/IEEE-QC-NoDulicates-1501-2000/IEEE-QC-NoDulicates-1501-2000.rdf,18911,"files/18911/Jaman et al. - 2025 - Comprehensive first-principles study of structural, electronic, optical, and elastic properties of F.pdf","/home/lpapp/IEEE_SYS_REV/PDFs/IEEE-QC-NoDulicates-1501-2000/files/18911/Jaman et al. - 2025 - Comprehensive first-principles study of structural, electronic, optical, and elastic properties of F.pdf",True,4902140,matched,title
