stable_name,source_pdf,ocr_pages,note
10_1002_ima_23015,/home/lpapp/IEEE_SYS_REV/4-FullTextExtraction/PDFs_step4/10.1002_ima.23015.pdf,17,cached
10_1002_jemt_24054,/home/lpapp/IEEE_SYS_REV/4-FullTextExtraction/PDFs_step4/10.1002_jemt.24054.pdf,11,cached
10_1007_s00259_023_06362_6,/home/lpapp/IEEE_SYS_REV/4-FullTextExtraction/PDFs_step4/10.1007_s00259-023-06362-6.pdf,12,ok
10_1007_s00521_022_07388_x,/home/lpapp/IEEE_SYS_REV/4-FullTextExtraction/PDFs_step4/10.1007_s00521-022-07388-x.pdf,14,ok
10_1007_s00521_023_08566_1,/home/lpapp/IEEE_SYS_REV/4-FullTextExtraction/PDFs_step4/10.1007_s00521-023-08566-1.pdf,8,ok
10_1007_s00521_023_08717_4,/home/lpapp/IEEE_SYS_REV/4-FullTextExtraction/PDFs_step4/10.1007_s00521-023-08717-4.pdf,17,ok
10_1007_s00521_023_09207_3,/home/lpapp/IEEE_SYS_REV/4-FullTextExtraction/PDFs_step4/10.1007_s00521-023-09207-3.pdf,14,ok
10_1007_s10278_023_00886_x,/home/lpapp/IEEE_SYS_REV/4-FullTextExtraction/PDFs_step4/10.1007_s10278-023-00886-x.pdf,12,ok
10_1007_s10278_025_01630_3,/home/lpapp/IEEE_SYS_REV/4-FullTextExtraction/PDFs_step4/10.1007_s10278-025-01630-3.pdf,21,ok
10_1007_s10462_024_10932_x,/home/lpapp/IEEE_SYS_REV/4-FullTextExtraction/PDFs_step4/10.1007_s10462-024-10932-x.pdf,52,ok
10_1007_s10586_024_04852_2,/home/lpapp/IEEE_SYS_REV/4-FullTextExtraction/PDFs_step4/10.1007_s10586-024-04852-2.pdf,13,ok
10_1007_s10791_025_09634_x,/home/lpapp/IEEE_SYS_REV/4-FullTextExtraction/PDFs_step4/10.1007_s10791-025-09634-x.pdf,18,ok
10_1007_s10791_025_09791_z,/home/lpapp/IEEE_SYS_REV/4-FullTextExtraction/PDFs_step4/10.1007_s10791-025-09791-z.pdf,32,ok
10_1007_s11128_024_04369_y,/home/lpapp/IEEE_SYS_REV/4-FullTextExtraction/PDFs_step4/10.1007_s11128-024-04369-y.pdf,17,ok
10_1007_s11128_025_04955_8,/home/lpapp/IEEE_SYS_REV/4-FullTextExtraction/PDFs_step4/10.1007_s11128-025-04955-8.pdf,23,ok
10_1007_s11128_026_05144_x,/home/lpapp/IEEE_SYS_REV/4-FullTextExtraction/PDFs_step4/10.1007_s11128-026-05144-x.pdf,35,ok
10_1007_s11227_024_06740_3,/home/lpapp/IEEE_SYS_REV/4-FullTextExtraction/PDFs_step4/10.1007_s11227-024-06740-3.pdf,32,ok
10_1007_s11227_025_07266_y,/home/lpapp/IEEE_SYS_REV/4-FullTextExtraction/PDFs_step4/10.1007_s11227-025-07266-y.pdf,30,ok
10_1007_s11227_025_07789_4,/home/lpapp/IEEE_SYS_REV/4-FullTextExtraction/PDFs_step4/10.1007_s11227-025-07789-4.pdf,52,ok
10_1007_s11227_025_07939_8,/home/lpapp/IEEE_SYS_REV/4-FullTextExtraction/PDFs_step4/10.1007_s11227-025-07939-8.pdf,28,ok
10_1007_s11227_025_07963_8,/home/lpapp/IEEE_SYS_REV/4-FullTextExtraction/PDFs_step4/10.1007_s11227-025-07963-8.pdf,16,ok
10_1007_s11265_025_01973_8,/home/lpapp/IEEE_SYS_REV/4-FullTextExtraction/PDFs_step4/10.1007_s11265-025-01973-8.pdf,22,ok
10_1007_s11307_025_01990_w,/home/lpapp/IEEE_SYS_REV/4-FullTextExtraction/PDFs_step4/10.1007_s11307-025-01990-w.pdf,11,ok
10_1007_s11467_024_1391_x,/home/lpapp/IEEE_SYS_REV/4-FullTextExtraction/PDFs_step4/10.1007_s11467-024-1391-x.pdf,13,ok
10_1007_s11760_023_02857_9,/home/lpapp/IEEE_SYS_REV/4-FullTextExtraction/PDFs_step4/10.1007_s11760-023-02857-9.pdf,17,ok
10_1007_s12065_024_00971_2,/home/lpapp/IEEE_SYS_REV/4-FullTextExtraction/PDFs_step4/10.1007_s12065-024-00971-2.pdf,32,ok
10_1007_s12559_021_09926_6,/home/lpapp/IEEE_SYS_REV/4-FullTextExtraction/PDFs_step4/10.1007_s12559-021-09926-6.pdf,12,ok
10_1007_s13369_021_06511_9,/home/lpapp/IEEE_SYS_REV/4-FullTextExtraction/PDFs_step4/10.1007_s13369-021-06511-9.pdf,12,ok
10_1007_s42452_025_06504_5,/home/lpapp/IEEE_SYS_REV/4-FullTextExtraction/PDFs_step4/10.1007_s42452-025-06504-5.pdf,23,ok
10_1007_s42484_022_00090_0,/home/lpapp/IEEE_SYS_REV/4-FullTextExtraction/PDFs_step4/10.1007_s42484-022-00090-0.pdf,11,ok
10_1007_s42484_024_00170_3,/home/lpapp/IEEE_SYS_REV/4-FullTextExtraction/PDFs_step4/10.1007_s42484-024-00170-3.pdf,18,ok
10_1007_s42484_024_00171_2,/home/lpapp/IEEE_SYS_REV/4-FullTextExtraction/PDFs_step4/10.1007_s42484-024-00171-2.pdf,12,ok
10_1007_s42484_025_00288_y,/home/lpapp/IEEE_SYS_REV/4-FullTextExtraction/PDFs_step4/10.1007_s42484-025-00288-y.pdf,28,ok
