doi,stable_name,image_dir,page_count,total_bytes,delimiter,status,notes
10.1002/ima.23015,10_1002_ima_23015,/home/lpapp/IEEE_SYS_REV/4-FullTextExtraction/extract_v1/PDFs_step4_images/10_1002_ima_23015,17,6633997,form_feed,ok,
10.1002/jemt.24054,10_1002_jemt_24054,/home/lpapp/IEEE_SYS_REV/4-FullTextExtraction/extract_v1/PDFs_step4_images/10_1002_jemt_24054,11,4204283,form_feed,ok,
10.1007/s00259-023-06362-6,10_1007_s00259_023_06362_6,/home/lpapp/IEEE_SYS_REV/4-FullTextExtraction/extract_v1/PDFs_step4_images/10_1007_s00259_023_06362_6,12,5759094,form_feed,ok,
10.1007/s00521-022-07388-x,10_1007_s00521_022_07388_x,/home/lpapp/IEEE_SYS_REV/4-FullTextExtraction/extract_v1/PDFs_step4_images/10_1007_s00521_022_07388_x,14,4742945,form_feed,ok,
10.1007/s00521-023-08566-1,10_1007_s00521_023_08566_1,/home/lpapp/IEEE_SYS_REV/4-FullTextExtraction/extract_v1/PDFs_step4_images/10_1007_s00521_023_08566_1,8,3512258,form_feed,ok,
10.1007/s00521-023-08717-4,10_1007_s00521_023_08717_4,/home/lpapp/IEEE_SYS_REV/4-FullTextExtraction/extract_v1/PDFs_step4_images/10_1007_s00521_023_08717_4,17,5971276,form_feed,ok,
10.1007/s00521-023-09207-3,10_1007_s00521_023_09207_3,/home/lpapp/IEEE_SYS_REV/4-FullTextExtraction/extract_v1/PDFs_step4_images/10_1007_s00521_023_09207_3,14,4882630,form_feed,ok,
10.1007/s10278-023-00886-x,10_1007_s10278_023_00886_x,/home/lpapp/IEEE_SYS_REV/4-FullTextExtraction/extract_v1/PDFs_step4_images/10_1007_s10278_023_00886_x,12,5414621,form_feed,ok,
10.1007/s10278-025-01630-3,10_1007_s10278_025_01630_3,/home/lpapp/IEEE_SYS_REV/4-FullTextExtraction/extract_v1/PDFs_step4_images/10_1007_s10278_025_01630_3,21,8319530,form_feed,ok,
10.1007/s10462-024-10932-x,10_1007_s10462_024_10932_x,/home/lpapp/IEEE_SYS_REV/4-FullTextExtraction/extract_v1/PDFs_step4_images/10_1007_s10462_024_10932_x,52,14049831,form_feed,ok,
10.1007/s10586-024-04852-2,10_1007_s10586_024_04852_2,/home/lpapp/IEEE_SYS_REV/4-FullTextExtraction/extract_v1/PDFs_step4_images/10_1007_s10586_024_04852_2,13,4759368,form_feed,ok,
10.1007/s10791-025-09634-x,10_1007_s10791_025_09634_x,/home/lpapp/IEEE_SYS_REV/4-FullTextExtraction/extract_v1/PDFs_step4_images/10_1007_s10791_025_09634_x,18,6215564,form_feed,ok,
10.1007/s10791-025-09791-z,10_1007_s10791_025_09791_z,/home/lpapp/IEEE_SYS_REV/4-FullTextExtraction/extract_v1/PDFs_step4_images/10_1007_s10791_025_09791_z,32,9447370,form_feed,ok,
10.1007/s11128-024-04369-y,10_1007_s11128_024_04369_y,/home/lpapp/IEEE_SYS_REV/4-FullTextExtraction/extract_v1/PDFs_step4_images/10_1007_s11128_024_04369_y,17,3975720,form_feed,ok,
10.1007/s11128-025-04955-8,10_1007_s11128_025_04955_8,/home/lpapp/IEEE_SYS_REV/4-FullTextExtraction/extract_v1/PDFs_step4_images/10_1007_s11128_025_04955_8,23,5889014,form_feed,ok,
10.1007/s11128-026-05144-x,10_1007_s11128_026_05144_x,/home/lpapp/IEEE_SYS_REV/4-FullTextExtraction/extract_v1/PDFs_step4_images/10_1007_s11128_026_05144_x,35,10042149,form_feed,ok,
10.1007/s11227-024-06740-3,10_1007_s11227_024_06740_3,/home/lpapp/IEEE_SYS_REV/4-FullTextExtraction/extract_v1/PDFs_step4_images/10_1007_s11227_024_06740_3,32,7448760,form_feed,ok,
10.1007/s11227-025-07266-y,10_1007_s11227_025_07266_y,/home/lpapp/IEEE_SYS_REV/4-FullTextExtraction/extract_v1/PDFs_step4_images/10_1007_s11227_025_07266_y,30,7145563,form_feed,ok,
10.1007/s11227-025-07789-4,10_1007_s11227_025_07789_4,/home/lpapp/IEEE_SYS_REV/4-FullTextExtraction/extract_v1/PDFs_step4_images/10_1007_s11227_025_07789_4,52,12904676,form_feed,ok,
10.1007/s11227-025-07939-8,10_1007_s11227_025_07939_8,/home/lpapp/IEEE_SYS_REV/4-FullTextExtraction/extract_v1/PDFs_step4_images/10_1007_s11227_025_07939_8,28,6810856,form_feed,ok,
10.1007/s11227-025-07963-8,10_1007_s11227_025_07963_8,/home/lpapp/IEEE_SYS_REV/4-FullTextExtraction/extract_v1/PDFs_step4_images/10_1007_s11227_025_07963_8,16,3860221,form_feed,ok,
10.1007/s11265-025-01973-8,10_1007_s11265_025_01973_8,/home/lpapp/IEEE_SYS_REV/4-FullTextExtraction/extract_v1/PDFs_step4_images/10_1007_s11265_025_01973_8,22,8656632,form_feed,ok,
10.1007/s11307-025-01990-w,10_1007_s11307_025_01990_w,/home/lpapp/IEEE_SYS_REV/4-FullTextExtraction/extract_v1/PDFs_step4_images/10_1007_s11307_025_01990_w,11,4316549,form_feed,ok,
10.1007/s11467-024-1391-x,10_1007_s11467_024_1391_x,/home/lpapp/IEEE_SYS_REV/4-FullTextExtraction/extract_v1/PDFs_step4_images/10_1007_s11467_024_1391_x,13,6400713,form_feed,ok,
10.1007/s11760-023-02857-9,10_1007_s11760_023_02857_9,/home/lpapp/IEEE_SYS_REV/4-FullTextExtraction/extract_v1/PDFs_step4_images/10_1007_s11760_023_02857_9,17,8388408,form_feed,ok,
10.1007/s12065-024-00971-2,10_1007_s12065_024_00971_2,/home/lpapp/IEEE_SYS_REV/4-FullTextExtraction/extract_v1/PDFs_step4_images/10_1007_s12065_024_00971_2,32,7675861,form_feed,ok,
10.1007/s12559-021-09926-6,10_1007_s12559_021_09926_6,/home/lpapp/IEEE_SYS_REV/4-FullTextExtraction/extract_v1/PDFs_step4_images/10_1007_s12559_021_09926_6,12,4508431,form_feed,ok,
10.1007/s13369-021-06511-9,10_1007_s13369_021_06511_9,/home/lpapp/IEEE_SYS_REV/4-FullTextExtraction/extract_v1/PDFs_step4_images/10_1007_s13369_021_06511_9,12,5352941,form_feed,ok,
10.1007/s42452-025-06504-5,10_1007_s42452_025_06504_5,/home/lpapp/IEEE_SYS_REV/4-FullTextExtraction/extract_v1/PDFs_step4_images/10_1007_s42452_025_06504_5,23,8004036,form_feed,ok,
10.1007/s42484-022-00090-0,10_1007_s42484_022_00090_0,/home/lpapp/IEEE_SYS_REV/4-FullTextExtraction/extract_v1/PDFs_step4_images/10_1007_s42484_022_00090_0,11,4842469,form_feed,ok,
10.1007/s42484-024-00170-3,10_1007_s42484_024_00170_3,/home/lpapp/IEEE_SYS_REV/4-FullTextExtraction/extract_v1/PDFs_step4_images/10_1007_s42484_024_00170_3,18,7251703,form_feed,ok,
10.1007/s42484-024-00171-2,10_1007_s42484_024_00171_2,/home/lpapp/IEEE_SYS_REV/4-FullTextExtraction/extract_v1/PDFs_step4_images/10_1007_s42484_024_00171_2,12,4630810,form_feed,ok,
10.1007/s42484-025-00288-y,10_1007_s42484_025_00288_y,/home/lpapp/IEEE_SYS_REV/4-FullTextExtraction/extract_v1/PDFs_step4_images/10_1007_s42484_025_00288_y,28,10250330,form_feed,ok,
10.1007/s42484-025-00315-y,10_1007_s42484_025_00315_y,/home/lpapp/IEEE_SYS_REV/4-FullTextExtraction/extract_v1/PDFs_step4_images/10_1007_s42484_025_00315_y,25,9970493,form_feed,ok,
10.1007/s42484-026-00385-6,10_1007_s42484_026_00385_6,/home/lpapp/IEEE_SYS_REV/4-FullTextExtraction/extract_v1/PDFs_step4_images/10_1007_s42484_026_00385_6,18,8341668,form_feed,ok,
10.1007/s44196-025-00920-6,10_1007_s44196_025_00920_6,/home/lpapp/IEEE_SYS_REV/4-FullTextExtraction/extract_v1/PDFs_step4_images/10_1007_s44196_025_00920_6,21,8232939,form_feed,ok,
10.1007/s44443-025-00449-w,10_1007_s44443_025_00449_w,/home/lpapp/IEEE_SYS_REV/4-FullTextExtraction/extract_v1/PDFs_step4_images/10_1007_s44443_025_00449_w,20,7837918,form_feed,ok,
10.1016/j.acra.2026.01.034,10_1016_j_acra_2026_01_034,/home/lpapp/IEEE_SYS_REV/4-FullTextExtraction/extract_v1/PDFs_step4_images/10_1016_j_acra_2026_01_034,9,3981602,form_feed,ok,
10.1016/j.aej.2023.09.008,10_1016_j_aej_2023_09_008,/home/lpapp/IEEE_SYS_REV/4-FullTextExtraction/extract_v1/PDFs_step4_images/10_1016_j_aej_2023_09_008,9,3440772,form_feed,ok,
10.1016/j.aej.2025.12.007,10_1016_j_aej_2025_12_007,/home/lpapp/IEEE_SYS_REV/4-FullTextExtraction/extract_v1/PDFs_step4_images/10_1016_j_aej_2025_12_007,20,10730342,form_feed,ok,
10.1016/j.artmed.2025.103322,10_1016_j_artmed_2025_103322,/home/lpapp/IEEE_SYS_REV/4-FullTextExtraction/extract_v1/PDFs_step4_images/10_1016_j_artmed_2025_103322,28,14067055,form_feed,ok,
10.1016/j.asoc.2024.111781,10_1016_j_asoc_2024_111781,/home/lpapp/IEEE_SYS_REV/4-FullTextExtraction/extract_v1/PDFs_step4_images/10_1016_j_asoc_2024_111781,8,3564251,form_feed,ok,
