doi,stable_name,text_path,source_pdf,extraction_mode,char_count,page_count,ocr_source,status,notes
10.1002/ima.23015,10_1002_ima_23015,/home/lpapp/IEEE_SYS_REV/4-FullTextExtraction/extract_v1/PDFs_step4_text/10_1002_ima_23015.txt,/home/lpapp/IEEE_SYS_REV/4-FullTextExtraction/PDFs_step4/10.1002_ima.23015.pdf,layout,79623,17,False,ok,
10.1002/jemt.24054,10_1002_jemt_24054,/home/lpapp/IEEE_SYS_REV/4-FullTextExtraction/extract_v1/PDFs_step4_text/10_1002_jemt_24054.txt,/home/lpapp/IEEE_SYS_REV/4-FullTextExtraction/PDFs_step4/10.1002_jemt.24054.pdf,layout,59249,11,False,ok,
10.1007/s00259-023-06362-6,10_1007_s00259_023_06362_6,/home/lpapp/IEEE_SYS_REV/4-FullTextExtraction/extract_v1/PDFs_step4_text/10_1007_s00259_023_06362_6.txt,/home/lpapp/IEEE_SYS_REV/4-FullTextExtraction/PDFs_step4/10.1007_s00259-023-06362-6.pdf,cached,79292,12,False,cached,
10.1007/s00521-022-07388-x,10_1007_s00521_022_07388_x,/home/lpapp/IEEE_SYS_REV/4-FullTextExtraction/extract_v1/PDFs_step4_text/10_1007_s00521_022_07388_x.txt,/home/lpapp/IEEE_SYS_REV/4-FullTextExtraction/PDFs_step4/10.1007_s00521-022-07388-x.pdf,layout,58983,14,False,ok,
10.1007/s00521-023-08566-1,10_1007_s00521_023_08566_1,/home/lpapp/IEEE_SYS_REV/4-FullTextExtraction/extract_v1/PDFs_step4_text/10_1007_s00521_023_08566_1.txt,/home/lpapp/IEEE_SYS_REV/4-FullTextExtraction/PDFs_step4/10.1007_s00521-023-08566-1.pdf,layout,45881,8,False,ok,
10.1007/s00521-023-08717-4,10_1007_s00521_023_08717_4,/home/lpapp/IEEE_SYS_REV/4-FullTextExtraction/extract_v1/PDFs_step4_text/10_1007_s00521_023_08717_4.txt,/home/lpapp/IEEE_SYS_REV/4-FullTextExtraction/PDFs_step4/10.1007_s00521-023-08717-4.pdf,layout,77308,17,False,ok,
10.1007/s00521-023-09207-3,10_1007_s00521_023_09207_3,/home/lpapp/IEEE_SYS_REV/4-FullTextExtraction/extract_v1/PDFs_step4_text/10_1007_s00521_023_09207_3.txt,/home/lpapp/IEEE_SYS_REV/4-FullTextExtraction/PDFs_step4/10.1007_s00521-023-09207-3.pdf,layout,63218,14,False,ok,
10.1007/s10278-023-00886-x,10_1007_s10278_023_00886_x,/home/lpapp/IEEE_SYS_REV/4-FullTextExtraction/extract_v1/PDFs_step4_text/10_1007_s10278_023_00886_x.txt,/home/lpapp/IEEE_SYS_REV/4-FullTextExtraction/PDFs_step4/10.1007_s10278-023-00886-x.pdf,cached,70590,12,False,cached,
10.1007/s10278-025-01630-3,10_1007_s10278_025_01630_3,/home/lpapp/IEEE_SYS_REV/4-FullTextExtraction/extract_v1/PDFs_step4_text/10_1007_s10278_025_01630_3.txt,/home/lpapp/IEEE_SYS_REV/4-FullTextExtraction/PDFs_step4/10.1007_s10278-025-01630-3.pdf,layout,101416,21,False,ok,
10.1007/s10462-024-10932-x,10_1007_s10462_024_10932_x,/home/lpapp/IEEE_SYS_REV/4-FullTextExtraction/extract_v1/PDFs_step4_text/10_1007_s10462_024_10932_x.txt,/home/lpapp/IEEE_SYS_REV/4-FullTextExtraction/PDFs_step4/10.1007_s10462-024-10932-x.pdf,cached,184523,52,False,cached,
