doi,stable_name,paradigm_subcategory,paradigm_facets
10.1002/ima.23015,10_1002_ima_23015,hybrid_quantum_classical,hybrid_quantum_classical
10.1002/jemt.24054,10_1002_jemt_24054,hybrid_quantum_classical,hybrid_quantum_classical
10.1007/s00259-023-06362-6,10_1007_s00259_023_06362_6,qml,qml
10.1007/s00521-022-07388-x,10_1007_s00521_022_07388_x,hybrid_quantum_classical,hybrid_quantum_classical
10.1007/s00521-023-08566-1,10_1007_s00521_023_08566_1,hybrid_quantum_classical,hybrid_quantum_classical
10.1007/s00521-023-08717-4,10_1007_s00521_023_08717_4,qml,qml
10.1007/s00521-023-09207-3,10_1007_s00521_023_09207_3,qml,qml
10.1007/s10278-023-00886-x,10_1007_s10278_023_00886_x,qml,qml
10.1007/s10278-025-01630-3,10_1007_s10278_025_01630_3,qml,qml
10.1007/s10791-025-09634-x,10_1007_s10791_025_09634_x,hybrid_quantum_classical,hybrid_quantum_classical
10.1007/s10791-025-09791-z,10_1007_s10791_025_09791_z,quantum_kernel,quantum_kernel
10.1007/s11128-024-04369-y,10_1007_s11128_024_04369_y,neqr,neqr
10.1007/s11128-025-04955-8,10_1007_s11128_025_04955_8,hybrid_quantum_classical,hybrid_quantum_classical
10.1007/s11128-026-05144-x,10_1007_s11128_026_05144_x,hybrid_quantum_classical,hybrid_quantum_classical
10.1007/s11227-024-06740-3,10_1007_s11227_024_06740_3,hybrid_quantum_classical,hybrid_quantum_classical
10.1007/s11227-025-07266-y,10_1007_s11227_025_07266_y,quantum_kernel,quantum_kernel
10.1007/s11227-025-07789-4,10_1007_s11227_025_07789_4,hybrid_quantum_classical,hybrid_quantum_classical
10.1007/s11227-025-07939-8,10_1007_s11227_025_07939_8,hybrid_quantum_classical,hybrid_quantum_classical
10.1007/s11265-025-01973-8,10_1007_s11265_025_01973_8,vqe,vqe
10.1007/s11307-025-01990-w,10_1007_s11307_025_01990_w,hybrid_quantum_classical,hybrid_quantum_classical
10.1007/s11467-024-1391-x,10_1007_s11467_024_1391_x,qml,qml
10.1007/s11760-023-02857-9,10_1007_s11760_023_02857_9,quantum_image_representation,quantum_image_representation
10.1007/s12065-024-00971-2,10_1007_s12065_024_00971_2,qml,qml
10.1007/s12559-021-09926-6,10_1007_s12559_021_09926_6,qml,qml
10.1007/s13369-021-06511-9,10_1007_s13369_021_06511_9,neqr,neqr
10.1007/s42452-025-06504-5,10_1007_s42452_025_06504_5,quantum_kernel,quantum_kernel
10.1007/s42484-022-00090-0,10_1007_s42484_022_00090_0,qml,qml
10.1007/s42484-024-00170-3,10_1007_s42484_024_00170_3,quantum_kernel,quantum_kernel
10.1007/s42484-024-00171-2,10_1007_s42484_024_00171_2,hybrid_quantum_classical,hybrid_quantum_classical
10.1007/s42484-025-00288-y,10_1007_s42484_025_00288_y,hybrid_quantum_classical,hybrid_quantum_classical
10.1007/s42484-025-00315-y,10_1007_s42484_025_00315_y,hybrid_quantum_classical,hybrid_quantum_classical
10.1007/s42484-026-00385-6,10_1007_s42484_026_00385_6,hybrid_quantum_classical,hybrid_quantum_classical
10.1007/s44196-025-00920-6,10_1007_s44196_025_00920_6,hybrid_quantum_classical,hybrid_quantum_classical
