candidate_number,record_id,doi,source,pdf_path,pdf_source,safe_record_id,cached_text_path,extraction_method,char_count,page_count,alpha_ratio,quality,cache_hit,error
1,http://zotero.org/users/19517875/items/HFEJ4TV9,10.1038/s41598-023-41700-6,step3_high,/home/lpapp/IEEE_SYS_REV/PDFs/IEEE-QC-NoDuplicates-1-500/files/13371/Jun - 2023 - A highly accurate quantum optimization algorithm for CT image reconstruction based on sinogram patte.pdf,rdf_index,HFEJ4TV9,/home/lpapp/IEEE_SYS_REV/4-FullTextExtraction/fulltext_cache/HFEJ4TV9.txt,pdftotext_layout,64604,11,0.8714,ok,no,
2,http://zotero.org/users/19517875/items/6ZAZXELJ,10.1109/access.2025.3581030,step3_high,/home/lpapp/IEEE_SYS_REV/PDFs/IEEE-QC-NoDuplicates-1-500/files/17981/ⅴ et al. - 2025 - A Hybrid Quantum-Classical Approach for Multi-Class Skin Disease Classification Using a 4-Qubit Mode.pdf,rdf_index,6ZAZXELJ,/home/lpapp/IEEE_SYS_REV/4-FullTextExtraction/fulltext_cache/6ZAZXELJ.txt,pdftotext_layout,74708,12,0.9076,ok,no,
3,http://zotero.org/users/19517875/items/TQMDVT4I,10.1038/s41598-025-31122-x,step3_high,/home/lpapp/IEEE_SYS_REV/PDFs/IEEE-QC-NoDuplicates-1-500/files/17998/Pandey and Mandal - 2025 - A hybrid quantum–classical convolutional neural network with a quantum attention mechanism for skin.pdf,rdf_index,TQMDVT4I,/home/lpapp/IEEE_SYS_REV/4-FullTextExtraction/fulltext_cache/TQMDVT4I.txt,pdftotext_layout,176586,34,0.8702,ok,no,
4,http://zotero.org/users/19517875/items/SLZG8JUI,10.1155/2022/3236305,step3_high,/home/lpapp/IEEE_SYS_REV/PDFs/IEEE-QC-NoDuplicates-501-1000/files/14277/Amin et al. - 2022 - A New Model for Brain Tumor Detection Using Ensemble Transfer Learning and Quantum Variational Class.pdf,rdf_index,SLZG8JUI,/home/lpapp/IEEE_SYS_REV/4-FullTextExtraction/fulltext_cache/SLZG8JUI.txt,pdftotext_layout,84537,14,0.8537,ok,no,
5,http://zotero.org/users/19517875/items/67FLD3IJ,10.1109/access.2025.3542807,step3_high,/home/lpapp/IEEE_SYS_REV/PDFs/IEEE-QC-NoDuplicates-1-500/files/13246/Subbiyan et al. - 2025 - A Quantum-Enhanced Artificial Neural Network Model for Efficient Medical Image Compression.pdf,rdf_index,67FLD3IJ,/home/lpapp/IEEE_SYS_REV/4-FullTextExtraction/fulltext_cache/67FLD3IJ.txt,pdftotext_layout,98702,21,0.9127,ok,no,
6,http://zotero.org/users/19517875/items/3W2LR2XX,10.1007/s10791-025-09791-z,step3_high,/home/lpapp/IEEE_SYS_REV/PDFs/IEEE-QC-NoDuplicates-501-1000/files/18177/Ayalew et al. - 2025 - An explainable hybrid deep learning system for tuberculosis detection with Grad-CAM.pdf,rdf_index,3W2LR2XX,/home/lpapp/IEEE_SYS_REV/4-FullTextExtraction/fulltext_cache/3W2LR2XX.txt,pdftotext_layout,122349,33,0.8864,ok,no,
7,http://zotero.org/users/19517875/items/45A8TCKG,10.1007/s10278-023-00886-x,step3_high,/home/lpapp/IEEE_SYS_REV/PDFs/IEEE-QC-NoDuplicates-501-1000/files/13990/Felefly et al. - 2023 - An Explainable MRI-Radiomic Quantum Neural Network to Differentiate Between Large Brain Metastases a.pdf,rdf_index,45A8TCKG,/home/lpapp/IEEE_SYS_REV/4-FullTextExtraction/fulltext_cache/45A8TCKG.txt,pdftotext_layout,70590,13,0.8915,ok,no,
8,http://zotero.org/users/19517875/items/TKXVP4KF,10.1186/s12880-025-01813-y,step3_high,/home/lpapp/IEEE_SYS_REV/PDFs/IEEE-QC-NoDuplicates-1-500/files/18020/Huang et al. - 2025 - An integrated strategy based on radiomics and quantum machine learning diagnosis and clinical inter.pdf,rdf_index,TKXVP4KF,/home/lpapp/IEEE_SYS_REV/4-FullTextExtraction/fulltext_cache/TKXVP4KF.txt,pdftotext_layout,75361,13,0.8018,ok,no,
9,http://zotero.org/users/19517875/items/VHIFUBFV,10.3390/electronics11050721,step3_high,/home/lpapp/IEEE_SYS_REV/PDFs/IEEE-QC-NoDuplicates-501-1000/files/13981/Shahwar et al. - 2022 - Automated Detection of Alzheimer’s via Hybrid Classical Quantum Neural Networks.pdf,rdf_index,VHIFUBFV,/home/lpapp/IEEE_SYS_REV/4-FullTextExtraction/fulltext_cache/VHIFUBFV.txt,pdftotext_layout,175170,20,0.9093,ok,no,
10,http://zotero.org/users/19517875/items/ZD7TNQAZ,10.3390/life15071124,step3_high,/home/lpapp/IEEE_SYS_REV/PDFs/IEEE-QC-NoDuplicates-501-1000/files/18138/Selvaraj et al. - 2025 - Binary and Multi-Class Classification of Colorectal Polyps Using CRP-ViT A Comparative Study Betwee.pdf,rdf_index,ZD7TNQAZ,/home/lpapp/IEEE_SYS_REV/4-FullTextExtraction/fulltext_cache/ZD7TNQAZ.txt,pdftotext_layout,106798,24,0.8527,ok,no,
