stable_name,field,verdict,figure_only,flag,extraction_value,si_value,quote,supp_source,occurrences,note
10_1038_s43588_022_00351_9,dataset_name,appends_extra,False,hold:suspected_control_dataset,Medical hand-breast MRI dataset (RSNA + TCIA); MNIST handwritten-digit dataset,FashionMNIST,FashionMNIST_BE_20220208_1.mat,plot_mnist.ipynb,1,
10_1371_journal_pone_0331870,dataset_name,appends_extra,False,hold:suspected_control_dataset,OASIS-2; NFBS,MNIST,mnist_0v1_2qubits_r1.csv,model-classification-control-eda.ipynb,7,
10_1007_s00259_023_06362_6,anatomy,appends_extra,False,review,oncology,prostate,prostate cancer characterization,README.md,1,
10_1007_s00259_023_06362_6,data_identifier,fills_blank,False,review,,https://osf.io/3nkx8/,https://osf.io/3nkx8/,README.md,1,
10_1007_s00259_023_06362_6,modality_secondary,fills_blank,False,review,,MRI,[68Ga]Ga-PSMA-11 PET/MRI patients,README.md,1,
10_1007_s00259_023_06362_6,reporting_standard_adherence,appends_extra,False,review,CLAIM_2024,IBSI,IBSI-conform radiomic dataset,README.md,1,
10_1007_s00259_023_06362_6,shot_count,fills_blank,False,review,not_reported,1000 shots,shots=1000,distance classifier for data with IonQ simulator and real device.ipynb,1,
10_1007_s11467_024_1391_x,hardware_modality,fills_blank,False,review,not_reported,NMR,nuclear magnetic resonance (NMR),11467_2024_1391_MOESM1_ESM.pdf,1,
10_1007_s11467_024_1391_x,parameter_count,fills_blank,False,review,not_reported,seven parameters (PQC),The PQC comprises seven parameters,11467_2024_1391_MOESM1_ESM.pdf,1,
10_1007_s11467_024_1391_x,performance_metrics_quantum,appends_extra,False,review,classification accuracy (Group 1)=92.31%; classification accuracy (Group 2)=87.17%; eigenvector fidelity (e1)=0.9998; eigenvector fidelity (e2)=0.9999; state fidelity=0.96,classification accuracy (Group 3)=80.83%; classification accuracy (Group 4)=82.36%,"80.83% for Group 3, and 82.36% for Group 4",11467_2024_1391_MOESM1_ESM.pdf,1,
10_1007_s11760_023_02857_9,anatomy,appends_extra,False,review,neurology; oncology,chest,Chest (1),11760_2023_2857_MOESM1_ESM.docx,1,
10_1007_s11760_023_02857_9,performance_metrics_classical,appends_extra,False,review,PSNR (Prewitt)=65.32%; MSE (Prewitt)=0.0306%; MSE (Sobel)=0.45%; MSE (Fuzzy Entropy)=0.25%; CNR (NEE Filter)=30.1%; CNR (NLM Filter)=20.34%; CNR (Guided Filter)=7.2%; accuracy (ILBP)=95.36%; accuracy ,PSNR (Canny)=62.4%,62.4,11760_2023_2857_MOESM1_ESM.docx,1,
10_1007_s13369_021_06511_9,dataset_name,appends_extra,False,review,"BSDS500 (2018); Chest CT images from published case studies (Pan et al., Fang et al., Chen et al., Chan et al., Ajlan et al.)",Lena (standard test image),standard Lena image,13369_2021_6511_MOESM1_ESM.pdf,1,
10_1007_s13369_021_06511_9,performance_metrics_classical,fills_blank,False,review,,PSNR=40.0435,40.0435,13369_2021_6511_MOESM1_ESM.pdf,1,
10_1016_j_artmed_2025_103322,ansatz_family,fills_blank,False,review,not_reported,"quantum convolutional (QCNN-style: parameterized RY/RZ rotations with CNOT entanglement, plus quantum pooling)","def _quantum_convolution(self, params):",02_QENN.ipynb,1,
10_1016_j_artmed_2025_103322,parameter_count,fills_blank,False,review,not_reported,"32 trainable quantum parameters (conv1_params: 16, conv2_params: 16)","""conv1_params"": (16,),",02_QENN.ipynb,1,
10_1016_j_asoc_2025_113631,anatomy,appends_extra,False,review,oncology,breast,breast cancer classification,README.md,1,
10_1016_j_asoc_2025_113631,simulator_framework,appends_extra,False,review,Qiskit_Aer,PennyLane,PennyLane 0.41.1,README.md,1,
10_1016_j_engappai_2025_111938,performance_metrics_classical,appends_extra,False,review,MobileViT accuracy (stage)=93; MobileViT accuracy (zone)=95; MobileViT accuracy (plus)=94.17; Classical CNN accuracy (stage)=65.25; Classical CNN accuracy (zone)=75.63; Classical CNN accuracy (plus)=7,"SIFT+SVM (handcrafted feature classifier, ROP stage) accuracy=59.50; AUC=0.75",Table A1: Performance of ML classifiers on the classification of different stages of ROP using MultiResUnet,1-s2.0-S0952197625019402-mmc1.docx,1,
10_1016_j_inffus_2023_101913,code_url,fills_blank,False,review,,https://github.com/WindMoon12/QNMF,https://github.com/WindMoon12/QNMF.git,config,1,
10_1016_j_knosys_2023_110413,cross_validation_strategy,fills_blank,False,review,not_reported,single holdout train/test split (test_size=0.25),test_size=0.25,Explainable Quantum Clusteirng.ipynb,1,
10_1016_j_knosys_2023_110413,shot_count,fills_blank,False,review,not_reported,5000 shots,shots=5000,Explainable Quantum Clusteirng.ipynb,1,
10_1016_j_knosys_2023_110413,simulator_framework,appends_extra,False,review,other,Qiskit,"from qiskit import QuantumRegister, ClassicalRegister",Explainable Quantum Clusteirng.ipynb,1,
10_1038_s41598_023_41700_6,dataset_type,appends_extra,False,review,synthetic,real,Experimental dataset obtained from Kaggle,quantum supremacy(Body CT image 50x50 - limited_angles).ipynb,1,
10_1038_s41598_023_41700_6,performance_metrics_quantum,appends_extra,False,review,"relative error=0; minimum energy (hybrid solver)=− 225, 518.910675; relative error of energy=less than 0.01%","{""metric_name"": ""lowest energy (Shepp-Logan 15x15, hybrid solver)"", ""value"": ""-8273.12""}",The lowest energy: -8273.12,Readme.md,1,
10_1038_s41598_026_38063_z,dataset_name,appends_extra,False,review,OIA-ODIR,DRIVE,drive-digital-retinal-images-for-vessel-extraction,Quantum_CNN_DRIVE93_75.ipynb,1,
10_1038_s41598_026_40127_z,anatomy,appends_extra,False,review,oncology,kidney,kidney and kidney tumor segmentation,README.md,1,
10_1038_s41598_026_42047_4,anatomy,appends_extra,False,review,oncology,bladder,Bladder Cancer Using Multimodal Data,README.md,1,
10_1038_s41598_026_42047_4,simulator_framework,fills_blank,False,review,,PennyLane,PennyLane==0.37.0,README.md,1,
10_1038_s43588_022_00351_9,dataset_name,appends_extra,False,review,Medical hand-breast MRI dataset (RSNA + TCIA); MNIST handwritten-digit dataset,Fashion MNIST dataset,the Fashion MNIST dataset,README.md,1,
10_1038_s43588_022_00351_9,simulator_framework,fills_blank,False,review,,Yao.jl,[Yao](https://github.com/QuantumBFS/Yao.jl) - A framework for Quantum Algorithm Design,README.md,1,
10_1038_s43588_022_00351_9,simulator_framework,fills_blank,False,review,,Yao,"using Yao, BitBasis, CuYao, YaoExtensions, Yao.AD, Zygote, YaoPlots",demo2_QNN_adversarial_learning.ipynb,1,
10_1038_s43588_022_00351_9,simulator_framework,fills_blank,False,review,,Yao / CuYao (Julia),"using Yao, BitBasis, CuYao, YaoExtensions, Yao.AD, Zygote, YaoPlots",demo1_QNN_training_notebook.ipynb,1,
10_1088_2058_9565_ae24a8,ansatz_family,fills_blank,False,review,not_reported,quantum convolutional neural network (QCNN),"def qcnn(inputs, weight_0, weight_1)",qcnn_res-tiny.ipynb,1,
10_1088_2058_9565_ae24a8,dataset_size_val,fills_blank,False,review,not_reported,FruitSeg30: 68 validation images (607 train / 68 val / 76 test split),"(607, 68, 76)",data.ipynb,1,
10_1371_journal_pone_0331870,dataset_type,appends_extra,False,review,public_benchmark,synthetic,/kaggle/working/synthetic,oasis-2-diffusion-train-sagittal.ipynb,1,
10_1371_journal_pone_0331870,simulator_framework,appends_extra,False,review,Qiskit_Aer; Qiskit_Aer,Qiskit_StatevectorEstimator,from qiskit.primitives import StatevectorEstimator as Estimator,oasis-2-3-plane-2qubits.ipynb,2,
10_1371_journal_pone_0331870,simulator_framework,appends_extra,False,review,Qiskit_Aer; Qiskit_Aer,Qiskit StatevectorEstimator,from qiskit.primitives import StatevectorEstimator as Estimator,oasis-2-coronal-ss-3qubits.ipynb,2,
10_3390_ai6020036,dataset_size_test,fills_blank,False,review,not_reported,10000 (CIFAR-10 test),n_test = 10000,cifar10-full-q4-w4-lcnet050-mb1-batch-64-trial11.ipynb,1,
10_3390_ai6020036,dataset_size_test,fills_blank,False,review,not_reported,10000 (CIFAR-10),n_test = 10000,cifar10-full-q5-w4-lcnet050-mb1-batch-64-trial11.ipynb,2,
10_3390_ai6020036,dataset_size_train,fills_blank,False,review,not_reported,50000 (CIFAR-10 train),n_train = 50000,cifar10-full-q4-w4-lcnet050-mb1-batch-64-trial11.ipynb,1,
10_3390_ai6020036,dataset_size_train,fills_blank,False,review,not_reported,50000 (CIFAR-10),n_train = 50000,cifar10-full-q5-w4-lcnet050-mb1-batch-64-trial11.ipynb,2,
10_3390_ai6020036,performance_metrics_classical,appends_extra,False,review,"AUCmicro (baseline, DermaMNIST)=0.880; AUCmacro (baseline, DermaMNIST)=0.944; accuracy (baseline, DermaMNIST)=0.701; AUCmicro (baseline, CIFAR-10)=0.961; accuracy (baseline, CIFAR-10)=0.735","AUCmacro (baseline, CIFAR-10)=0.955",0.954858,cifar10-full-classic-lcnet050-mb1-trial07-batch-64.ipynb,1,
10_3390_ai6020036,performance_metrics_quantum,appends_extra,False,review,"AUCmicro (HNN-QC5, DermaMNIST)=0.952; AUCmacro (HNN-QC5, DermaMNIST)=0.956; accuracy (HNN-QC5, DermaMNIST)=0.727; accuracy (largest HNN-QCn YW4+XYW4+XYW9+O1, DermaMNIST)=0.734; AUCmicro (largest HNN-Q","accuracy (HYBRID W4, CIFAR-10, KFold mean)=0.71074",0.71074,cifar10-full-q4-w4-lcnet050-mb1-batch-64-trial11.ipynb,1,
10_3390_ai6020036,performance_metrics_quantum,appends_extra,False,review,"AUCmicro (HNN-QC5, DermaMNIST)=0.952; AUCmacro (HNN-QC5, DermaMNIST)=0.956; accuracy (HNN-QC5, DermaMNIST)=0.727; accuracy (largest HNN-QCn YW4+XYW4+XYW9+O1, DermaMNIST)=0.734; AUCmicro (largest HNN-Q","AUCmacro (HNN-QC5, CIFAR-10)=0.960","AUC_macro_OoF  AUC_micro_OoF
0  HYBRID_Y_W4_S1   SINGLE       0.959983       0.964754",cifar10-full-q5-w4-lcnet050-mb1-batch-64-trial11.ipynb,1,
10_3390_computation13120278,performance_metrics_classical,appends_extra,False,review,DermaMNIST accuracy (LCNet050 classic)=0.5457; DermaMNIST accuracy (LCNet075 classic)=0.5720; DermaMNIST macro-AUC (LCNet050 classic)=0.8310; DermaMNIST micro-AUC (LCNet050 classic)=0.8919; DermaMNIST,CIFAR-10 micro-AUC (LCNet050 classic)=0.9624,0.962411,cifar10-classic-q5-w4-lcnet050-mb1-batch-64-t.ipynb,1,
