stable_name,status,si_enrichment_files,si_pdf,si_spreadsheet,si_document,si_data,code_files,full_text_pdf,total_files
10_1002_ima_23015,ok,0,0,0,0,0,0,0,0
10_1002_jemt_24054,ok,0,0,0,0,0,0,0,0
10_1007_s00259_023_06362_6,ok,0,0,0,0,0,17,1,71
10_1007_s00521_022_07388_x,ok,0,0,0,0,0,0,1,1
10_1007_s00521_023_08566_1,ok,0,0,0,0,0,0,1,1
10_1007_s00521_023_08717_4,ok,0,0,0,0,0,0,1,1
10_1007_s00521_023_09207_3,ok,0,0,0,0,0,0,1,1
10_1007_s10278_023_00886_x,ok,0,0,0,0,0,0,1,1
10_1007_s10278_025_01630_3,ok,0,0,0,0,0,0,1,1
10_1007_s10791_025_09634_x,ok,0,0,0,0,0,0,1,1
10_1007_s10791_025_09791_z,ok,0,0,0,0,0,0,1,1
10_1007_s11128_024_04369_y,ok,0,0,0,0,0,1,1,58986
10_1007_s11128_025_04955_8,ok,0,0,0,0,0,0,1,1
10_1007_s11128_026_05144_x,ok,0,0,0,0,0,0,1,1
10_1007_s11227_024_06740_3,ok,0,0,0,0,0,0,1,1
10_1007_s11265_025_01973_8,ok,0,0,0,0,0,0,1,1
10_1007_s11307_025_01990_w,ok,0,0,0,0,0,0,1,1
10_1007_s11467_024_1391_x,ok,1,1,0,0,0,0,1,2
10_1007_s11760_023_02857_9,ok,1,0,0,1,0,0,1,2
10_1007_s12065_024_00971_2,ok,0,0,0,0,0,0,2,2
10_1007_s12559_021_09926_6,ok,0,0,0,0,0,0,1,1
10_1007_s13369_021_06511_9,ok,1,1,0,0,0,0,1,2
10_1007_s42452_025_06504_5,ok,0,0,0,0,0,0,1,1
10_1007_s42484_024_00170_3,ok,0,0,0,0,0,0,1,1
10_1007_s42484_024_00171_2,ok,0,0,0,0,0,0,1,1
10_1007_s42484_025_00288_y,ok,0,0,0,0,0,0,1,1
10_1007_s42484_025_00315_y,ok,0,0,0,0,0,0,1,1
10_1007_s42484_026_00385_6,ok,0,0,0,0,0,0,1,1
10_1007_s44196_025_00920_6,ok,0,0,0,0,0,0,1,1
10_1007_s44443_025_00449_w,ok,0,0,0,0,0,0,1,1
10_1016_j_aej_2023_09_008,ok,0,0,0,0,0,0,0,2
10_1016_j_aej_2025_12_007,ok,0,0,0,0,0,0,0,2
10_1016_j_artmed_2025_103322,ok,0,0,0,0,0,2,0,32
10_1016_j_asoc_2025_113631,ok,0,0,0,0,0,3,0,38
10_1016_j_bspc_2023_105560,ok,0,0,0,0,0,0,0,2
10_1016_j_bspc_2026_110251,ok,0,0,0,0,0,0,0,2
10_1016_j_cmpb_2026_109362,ok,0,0,0,0,0,0,0,2
10_1016_j_compbiomed_2025_110941,ok,0,0,0,0,0,0,0,2
10_1016_j_compbiomed_2026_111633,ok,0,0,0,0,0,0,0,2
10_1016_j_engappai_2025_111938,ok,1,0,0,1,0,0,0,3
10_1016_j_ijrobp_2026_03_010,ok,1,0,0,1,0,0,0,3
10_1016_j_inffus_2023_101913,ok,2,0,2,0,0,5,0,69
10_1016_j_jestch_2025_102272,ok,0,0,0,0,0,0,0,2
10_1016_j_jestch_2026_102386,ok,0,0,0,0,0,0,0,2
10_1016_j_jrras_2026_102165,ok,0,0,0,0,0,0,0,2
10_1016_j_knosys_2023_110413,ok,0,0,0,0,0,1,0,32
10_1016_j_knosys_2024_112922,ok,0,0,0,0,0,3,0,38
10_1016_j_mex_2025_103185,ok,0,0,0,0,0,0,0,2
10_1016_j_mex_2025_103605,ok,0,0,0,0,0,0,0,2
10_1016_j_neucom_2025_131410,ok,0,0,0,0,0,0,0,2
10_1016_j_radphyschem_2025_113545,ok,0,0,0,0,0,0,0,2
10_1016_j_softx_2026_102621,ok,11,0,0,0,11,45,0,59191
10_1038_s41598_023_41700_6,ok,3,0,0,0,3,24,1,104
10_1038_s41598_024_61452_1,ok,0,0,0,0,0,0,1,1
10_1038_s41598_025_08453_w,ok,0,0,0,0,0,0,1,1
10_1038_s41598_025_14611_x,ok,0,0,0,0,0,0,1,1
10_1038_s41598_025_17075_1,ok,0,0,0,0,0,0,1,1
10_1038_s41598_025_31122_x,ok,0,0,0,0,0,0,1,1
10_1038_s41598_025_93552_x,ok,0,0,0,0,0,0,1,1
10_1038_s41598_026_35540_3,ok,0,0,0,0,0,0,2,2
10_1038_s41598_026_35605_3,ok,0,0,0,0,0,79,2,212
10_1038_s41598_026_35951_2,ok,0,0,0,0,0,0,1,1
10_1038_s41598_026_38063_z,ok,0,0,0,0,0,1,1,5
10_1038_s41598_026_40127_z,ok,1,0,0,0,1,6,2,251
10_1038_s41598_026_42047_4,ok,7,0,6,0,1,4,2,59
10_1038_s41598_026_49227_2,ok,0,0,0,0,0,0,1,1
10_1038_s41598_026_51942_9,ok,0,0,0,0,0,0,0,0
10_1038_s43588_022_00351_9,ok,2642,8,0,0,2634,10,0,2684
10_1049_qtc2_70010,ok,0,0,0,0,0,0,0,0
10_1080_00207454_2026_2656322,ok,0,0,0,0,0,0,0,0
10_1088_1402_4896_ae20d5,ok,0,0,0,0,0,0,0,0
10_1088_2058_9565_acfc61,ok,0,0,0,0,0,0,0,0
10_1088_2058_9565_ae24a8,ok,781,0,12,0,769,65,0,4004
10_1088_2632_2153_acffa3,ok,0,0,0,0,0,0,0,0
10_1088_2632_2153_ad2aef,ok,0,0,0,0,0,0,0,0
10_1088_2632_2153_ad8c11,ok,0,0,0,0,0,0,0,0
10_1088_2632_2153_add1a9,ok,0,0,0,0,0,0,0,0
10_1093_jcde_qwac003,ok,0,0,0,0,0,0,0,0
10_1103_physrevresearch_6_l042060,ok,0,0,0,0,0,0,1,1
10_1109_access_2024_3360139,ok,0,0,0,0,0,0,2,2
10_1109_access_2024_3434681,ok,0,0,0,0,0,0,1,1
10_1109_access_2025_3531407,ok,0,0,0,0,0,0,1,1
10_1109_access_2025_3542807,ok,0,0,0,0,0,0,1,1
10_1109_access_2025_3581030,ok,0,0,0,0,0,0,1,1
10_1109_access_2025_3599679,ok,0,0,0,0,0,0,1,1
10_1109_access_2025_3608217,ok,0,0,0,0,0,0,1,1
10_1109_access_2025_3625205,ok,0,0,0,0,0,0,1,1
10_1109_access_2025_3627877,ok,0,0,0,0,0,0,1,1
10_1109_access_2025_3638383,ok,0,0,0,0,0,0,1,1
10_1109_access_2025_3639179,ok,0,0,0,0,0,0,1,1
10_1109_access_2026_3663498,ok,0,0,0,0,0,0,1,1
10_1109_access_2026_3669206,ok,0,0,0,0,0,0,1,1
10_1109_access_2026_3677204,ok,0,0,0,0,0,0,1,1
10_1109_access_2026_3683415,ok,0,0,0,0,0,0,1,1
10_1109_access_2026_3686925,ok,0,0,0,0,0,0,1,1
10_1109_jbhi_2025_3596156,ok,0,0,0,0,0,0,0,0
10_1109_jbhi_2025_3610855,ok,0,0,0,0,0,0,0,0
10_1109_tce_2024_3351649,ok,0,0,0,0,0,4,0,46
