stable_name,doi,n_inputs,si_document,notebook,metrics_table,config,readme
10_1371_journal_pone_0331870,10.1371/journal.pone.0331870,89,15,67,3,3,1
10_1038_s41598_023_41700_6,10.1038/s41598-023-41700-6,32,0,23,0,2,7
10_1038_s43588_022_00351_9,10.1038/s43588-022-00351-9,17,8,6,0,0,3
10_1088_2058_9565_ae24a8,10.1088/2058-9565/ae24a8,16,0,13,0,3,0
10_3390_jimaging9070128,10.3390/jimaging9070128,15,0,13,0,1,1
10_1038_s41598_026_35605_3,10.1038/s41598-026-35605-3,12,0,2,0,2,8
10_1007_s00259_023_06362_6,10.1007/s00259-023-06362-6,11,0,9,0,1,1
10_1016_j_softx_2026_102621,10.1016/j.softx.2026.102621,10,0,1,0,5,4
10_1016_j_inffus_2023_101913,10.1016/j.inffus.2023.101913,7,0,0,0,1,6
10_3389_fonc_2025_1553539,10.3389/fonc.2025.1553539,7,0,1,0,3,3
10_3390_jimaging9100221,10.3390/jimaging9100221,4,0,2,0,1,1
10_1016_j_artmed_2025_103322,10.1016/j.artmed.2025.103322,3,0,2,0,1,0
10_1016_j_knosys_2023_110413,10.1016/j.knosys.2023.110413,3,0,1,0,1,1
10_1038_s41598_026_42047_4,10.1038/s41598-026-42047-4,3,0,0,0,1,2
10_1109_tce_2024_3351649,10.1109/tce.2024.3351649,3,0,1,0,1,1
10_3390_ai6020036,10.3390/ai6020036,3,0,3,0,0,0
10_3390_computation13120278,10.3390/computation13120278,3,0,3,0,0,0
10_1007_s11128_024_04369_y,10.1007/s11128-024-04369-y,2,0,1,0,1,0
10_1016_j_asoc_2025_113631,10.1016/j.asoc.2025.113631,2,0,0,0,1,1
10_1016_j_knosys_2024_112922,10.1016/j.knosys.2024.112922,2,0,0,0,1,1
10_1038_s41598_026_38063_z,10.1038/s41598-026-38063-z,2,0,1,0,0,1
10_1038_s41598_026_40127_z,10.1038/s41598-026-40127-z,2,0,0,0,1,1
10_1007_s11467_024_1391_x,10.1007/s11467-024-1391-x,1,1,0,0,0,0
10_1007_s11760_023_02857_9,10.1007/s11760-023-02857-9,1,1,0,0,0,0
10_1007_s13369_021_06511_9,10.1007/s13369-021-06511-9,1,1,0,0,0,0
10_1016_j_engappai_2025_111938,10.1016/j.engappai.2025.111938,1,1,0,0,0,0
10_1016_j_ijrobp_2026_03_010,10.1016/j.ijrobp.2026.03.010,1,1,0,0,0,0
10_1155_2022_3236305,10.1155/2022/3236305,1,0,0,0,1,0
10_3390_brainsci14040401,10.3390/brainsci14040401,1,1,0,0,0,0
10_7717_peerj_cs_3387,10.7717/peerj-cs.3387,1,0,1,0,0,0
10_1002_ima_23015,10.1002/ima.23015,0,0,0,0,0,0
10_1002_jemt_24054,10.1002/jemt.24054,0,0,0,0,0,0
10_1007_s00521_022_07388_x,10.1007/s00521-022-07388-x,0,0,0,0,0,0
10_1007_s00521_023_08566_1,10.1007/s00521-023-08566-1,0,0,0,0,0,0
10_1007_s00521_023_08717_4,10.1007/s00521-023-08717-4,0,0,0,0,0,0
10_1007_s00521_023_09207_3,10.1007/s00521-023-09207-3,0,0,0,0,0,0
10_1007_s10278_023_00886_x,10.1007/s10278-023-00886-x,0,0,0,0,0,0
10_1007_s10278_025_01630_3,10.1007/s10278-025-01630-3,0,0,0,0,0,0
10_1007_s10791_025_09634_x,10.1007/s10791-025-09634-x,0,0,0,0,0,0
10_1007_s10791_025_09791_z,10.1007/s10791-025-09791-z,0,0,0,0,0,0
10_1007_s11128_025_04955_8,10.1007/s11128-025-04955-8,0,0,0,0,0,0
10_1007_s11128_026_05144_x,10.1007/s11128-026-05144-x,0,0,0,0,0,0
10_1007_s11227_024_06740_3,10.1007/s11227-024-06740-3,0,0,0,0,0,0
10_1007_s11265_025_01973_8,10.1007/s11265-025-01973-8,0,0,0,0,0,0
10_1007_s11307_025_01990_w,10.1007/s11307-025-01990-w,0,0,0,0,0,0
10_1007_s12065_024_00971_2,10.1007/s12065-024-00971-2,0,0,0,0,0,0
10_1007_s12559_021_09926_6,10.1007/s12559-021-09926-6,0,0,0,0,0,0
10_1007_s42452_025_06504_5,10.1007/s42452-025-06504-5,0,0,0,0,0,0
10_1007_s42484_024_00170_3,10.1007/s42484-024-00170-3,0,0,0,0,0,0
10_1007_s42484_024_00171_2,10.1007/s42484-024-00171-2,0,0,0,0,0,0
10_1007_s42484_025_00288_y,10.1007/s42484-025-00288-y,0,0,0,0,0,0
10_1007_s42484_025_00315_y,10.1007/s42484-025-00315-y,0,0,0,0,0,0
10_1007_s42484_026_00385_6,10.1007/s42484-026-00385-6,0,0,0,0,0,0
10_1007_s44196_025_00920_6,10.1007/s44196-025-00920-6,0,0,0,0,0,0
10_1007_s44443_025_00449_w,10.1007/s44443-025-00449-w,0,0,0,0,0,0
10_1016_j_aej_2023_09_008,10.1016/j.aej.2023.09.008,0,0,0,0,0,0
10_1016_j_aej_2025_12_007,10.1016/j.aej.2025.12.007,0,0,0,0,0,0
10_1016_j_bspc_2023_105560,10.1016/j.bspc.2023.105560,0,0,0,0,0,0
10_1016_j_bspc_2026_110251,10.1016/j.bspc.2026.110251,0,0,0,0,0,0
10_1016_j_cmpb_2026_109362,10.1016/j.cmpb.2026.109362,0,0,0,0,0,0
10_1016_j_compbiomed_2025_110941,10.1016/j.compbiomed.2025.110941,0,0,0,0,0,0
10_1016_j_compbiomed_2026_111633,10.1016/j.compbiomed.2026.111633,0,0,0,0,0,0
10_1016_j_jestch_2025_102272,10.1016/j.jestch.2025.102272,0,0,0,0,0,0
10_1016_j_jestch_2026_102386,10.1016/j.jestch.2026.102386,0,0,0,0,0,0
10_1016_j_jrras_2026_102165,10.1016/j.jrras.2026.102165,0,0,0,0,0,0
10_1016_j_mex_2025_103185,10.1016/j.mex.2025.103185,0,0,0,0,0,0
10_1016_j_mex_2025_103605,10.1016/j.mex.2025.103605,0,0,0,0,0,0
10_1016_j_neucom_2025_131410,10.1016/j.neucom.2025.131410,0,0,0,0,0,0
10_1016_j_radphyschem_2025_113545,10.1016/j.radphyschem.2025.113545,0,0,0,0,0,0
10_1038_s41598_024_61452_1,10.1038/s41598-024-61452-1,0,0,0,0,0,0
10_1038_s41598_025_08453_w,10.1038/s41598-025-08453-w,0,0,0,0,0,0
10_1038_s41598_025_14611_x,10.1038/s41598-025-14611-x,0,0,0,0,0,0
10_1038_s41598_025_17075_1,10.1038/s41598-025-17075-1,0,0,0,0,0,0
10_1038_s41598_025_31122_x,10.1038/s41598-025-31122-x,0,0,0,0,0,0
10_1038_s41598_025_93552_x,10.1038/s41598-025-93552-x,0,0,0,0,0,0
10_1038_s41598_026_35540_3,10.1038/s41598-026-35540-3,0,0,0,0,0,0
10_1038_s41598_026_35951_2,10.1038/s41598-026-35951-2,0,0,0,0,0,0
10_1038_s41598_026_49227_2,10.1038/s41598-026-49227-2,0,0,0,0,0,0
10_1038_s41598_026_51942_9,10.1038/s41598-026-51942-9,0,0,0,0,0,0
10_1049_qtc2_70010,10.1049/qtc2.70010,0,0,0,0,0,0
10_1080_00207454_2026_2656322,10.1080/00207454.2026.2656322,0,0,0,0,0,0
10_1088_1402_4896_ae20d5,10.1088/1402-4896/ae20d5,0,0,0,0,0,0
10_1088_2058_9565_acfc61,10.1088/2058-9565/acfc61,0,0,0,0,0,0
10_1088_2632_2153_acffa3,10.1088/2632-2153/acffa3,0,0,0,0,0,0
10_1088_2632_2153_ad2aef,10.1088/2632-2153/ad2aef,0,0,0,0,0,0
10_1088_2632_2153_ad8c11,10.1088/2632-2153/ad8c11,0,0,0,0,0,0
10_1088_2632_2153_add1a9,10.1088/2632-2153/add1a9,0,0,0,0,0,0
10_1093_jcde_qwac003,10.1093/jcde/qwac003,0,0,0,0,0,0
10_1103_physrevresearch_6_l042060,10.1103/physrevresearch.6.l042060,0,0,0,0,0,0
10_1109_access_2024_3360139,10.1109/access.2024.3360139,0,0,0,0,0,0
10_1109_access_2024_3434681,10.1109/access.2024.3434681,0,0,0,0,0,0
10_1109_access_2025_3531407,10.1109/access.2025.3531407,0,0,0,0,0,0
10_1109_access_2025_3542807,10.1109/access.2025.3542807,0,0,0,0,0,0
10_1109_access_2025_3581030,10.1109/access.2025.3581030,0,0,0,0,0,0
10_1109_access_2025_3599679,10.1109/access.2025.3599679,0,0,0,0,0,0
10_1109_access_2025_3608217,10.1109/access.2025.3608217,0,0,0,0,0,0
10_1109_access_2025_3625205,10.1109/access.2025.3625205,0,0,0,0,0,0
10_1109_access_2025_3627877,10.1109/access.2025.3627877,0,0,0,0,0,0
10_1109_access_2025_3638383,10.1109/access.2025.3638383,0,0,0,0,0,0
10_1109_access_2025_3639179,10.1109/access.2025.3639179,0,0,0,0,0,0
10_1109_access_2026_3663498,10.1109/access.2026.3663498,0,0,0,0,0,0
10_1109_access_2026_3669206,10.1109/access.2026.3669206,0,0,0,0,0,0
10_1109_access_2026_3677204,10.1109/access.2026.3677204,0,0,0,0,0,0
10_1109_access_2026_3683415,10.1109/access.2026.3683415,0,0,0,0,0,0
10_1109_access_2026_3686925,10.1109/access.2026.3686925,0,0,0,0,0,0
10_1109_jbhi_2025_3596156,10.1109/jbhi.2025.3596156,0,0,0,0,0,0
