col_index,band,name,role,arity,priority
1,identifiers,doi,identifier,,
2,identifiers,title,identifier,,
3,identifiers,stable_name,identifier,,
4,identifiers,pdf_file,identifier,,
5,identifiers,year,identifier,,
6,Bibliographic / Imaging / Translational,title,identity_biblio,,
7,Bibliographic / Imaging / Translational,title_quote,quote_companion,,
8,Bibliographic / Imaging / Translational,authors,identity_biblio,,
9,Bibliographic / Imaging / Translational,authors_quote,quote_companion,,
10,Bibliographic / Imaging / Translational,journal,identity_biblio,,
11,Bibliographic / Imaging / Translational,journal_quote,quote_companion,,
12,Bibliographic / Imaging / Translational,publisher,identity_biblio,,
13,Bibliographic / Imaging / Translational,publisher_quote,quote_companion,,
14,Bibliographic / Imaging / Translational,country_corresponding,targetable,scalar,low
15,Bibliographic / Imaging / Translational,country_corresponding_quote,quote_companion,,
16,Bibliographic / Imaging / Translational,funding_declared,targetable,bool,low
17,Bibliographic / Imaging / Translational,funding_declared_quote,quote_companion,,
18,Bibliographic / Imaging / Translational,funding_source,targetable,scalar,low
19,Bibliographic / Imaging / Translational,funding_source_quote,quote_companion,,
20,Bibliographic / Imaging / Translational,modality_primary,targetable,scalar,medium
21,Bibliographic / Imaging / Translational,modality_primary_quote,quote_companion,,
22,Bibliographic / Imaging / Translational,modality_secondary,targetable,scalar,medium
23,Bibliographic / Imaging / Translational,modality_secondary_quote,quote_companion,,
24,Bibliographic / Imaging / Translational,anatomy,targetable,list,medium
25,Bibliographic / Imaging / Translational,anatomy_quote,quote_companion,,
26,Bibliographic / Imaging / Translational,imaging_task,targetable,scalar,medium
27,Bibliographic / Imaging / Translational,imaging_task_quote,quote_companion,,
28,Bibliographic / Imaging / Translational,dataset_type,targetable,list,high
29,Bibliographic / Imaging / Translational,dataset_type_quote,quote_companion,,
30,Bibliographic / Imaging / Translational,dataset_name,targetable,list,high
31,Bibliographic / Imaging / Translational,dataset_name_quote,quote_companion,,
32,Bibliographic / Imaging / Translational,dataset_size_train,targetable,scalar,high
33,Bibliographic / Imaging / Translational,dataset_size_train_quote,quote_companion,,
34,Bibliographic / Imaging / Translational,dataset_size_val,targetable,scalar,high
35,Bibliographic / Imaging / Translational,dataset_size_val_quote,quote_companion,,
36,Bibliographic / Imaging / Translational,dataset_size_test,targetable,scalar,high
37,Bibliographic / Imaging / Translational,dataset_size_test_quote,quote_companion,,
38,Bibliographic / Imaging / Translational,translational_level,targetable,scalar,medium
39,Bibliographic / Imaging / Translational,translational_level_quote,quote_companion,,
40,Bibliographic / Imaging / Translational,clinical_impact_claim,targetable,scalar,medium
41,Bibliographic / Imaging / Translational,clinical_impact_claim_quote,quote_companion,,
42,Bibliographic / Imaging / Translational,sample_size_justification_reported,targetable,bool,medium
