field,arity,priority,n_papers,n_filled_real,n_absence,n_bool_true,n_bool_false,n_quote_unverified,pct_absence
country_corresponding,scalar,low,134,134,0,0,0,0,0.0
funding_declared,bool,low,134,0,0,69,65,0,0.0
funding_source,scalar,low,134,68,66,0,0,0,49.3
modality_primary,scalar,medium,134,134,0,0,0,0,0.0
modality_secondary,scalar,medium,134,26,108,0,0,0,80.6
anatomy,list,medium,134,134,0,0,0,0,0.0
imaging_task,scalar,medium,134,134,0,0,0,0,0.0
dataset_type,list,high,134,133,1,0,0,0,0.7
dataset_name,list,high,134,133,1,0,0,0,0.7
dataset_size_train,scalar,high,134,92,42,0,0,0,31.3
dataset_size_val,scalar,high,134,50,84,0,0,0,62.7
dataset_size_test,scalar,high,134,97,37,0,0,0,27.6
translational_level,scalar,medium,134,134,0,0,0,0,0.0
clinical_impact_claim,scalar,medium,134,128,6,0,0,0,4.5
sample_size_justification_reported,bool,medium,134,0,0,0,134,0,0.0
external_validation_used,bool,medium,134,0,0,12,122,0,0.0
regulatory_pathway_addressed,bool,medium,134,0,0,6,128,0,0.0
prospective_clinical_present,bool,medium,134,0,0,0,134,0,0.0
paradigm,scalar,medium,134,134,0,0,0,1,0.0
paradigm_novelty_note,scalar,medium,134,11,123,0,0,0,91.8
hardware_vendor,scalar,high,134,35,99,0,0,0,73.9
hardware_modality,scalar,medium,134,126,8,0,0,0,6.0
real_or_simulator,scalar,medium,134,134,0,0,0,2,0.0
simulator_framework,list,high,134,101,33,0,0,0,24.6
ansatz_family,scalar,high,134,81,53,0,0,1,39.6
parameter_count,scalar,high,134,45,89,0,0,0,66.4
transpilation_level,scalar,high,134,13,121,0,0,0,90.3
image_encoding,list,high,134,119,15,0,0,0,11.2
image_encoding_novelty_note,scalar,medium,134,14,120,0,0,0,89.6
error_mitigation_strategy,scalar,high,134,13,121,0,0,0,90.3
error_mitigation_type,scalar,high,134,7,127,0,0,0,94.8
qubit_count,scalar,high,134,116,18,0,0,0,13.4
circuit_depth,scalar,high,134,52,82,0,0,0,61.2
gate_count,scalar,high,134,18,116,0,0,0,86.6
shot_count,scalar,high,134,20,114,0,0,0,85.1
classical_baseline_present,bool,high,134,0,0,125,9,0,0.0
classical_baseline_identification,scalar,high,134,125,9,0,0,0,6.7
performance_metrics_quantum,list,high,134,131,3,0,0,2,2.2
performance_metrics_classical,list,high,134,121,13,0,0,2,9.7
cross_validation_strategy,scalar,high,134,105,29,0,0,1,21.6
external_test_set,bool,high,134,0,0,17,117,0,0.0
statistical_testing_present,bool,high,134,0,0,35,99,0,0.0
statistical_testing_method,scalar,high,134,35,99,0,0,0,73.9
code_release,bool,high,134,0,0,30,104,0,0.0
code_url,scalar,high,134,30,104,0,0,0,77.6
data_release,bool,high,134,0,0,78,56,0,0.0
data_identifier,scalar,high,134,78,56,0,0,1,41.8
weights_release,bool,high,134,0,0,1,133,0,0.0
computational_cost_training,scalar,medium,134,58,76,0,0,0,56.7
computational_cost_inference,scalar,medium,134,40,94,0,0,1,70.1
baseline_rigour_grade,scalar,high,134,125,9,0,0,0,6.7
dataset_realism_grade,scalar,high,134,133,1,0,0,0,0.7
reporting_standard_adherence,list,medium,134,1,133,0,0,0,99.3
explainability_mechanism,scalar,high,134,25,109,0,0,0,81.3
explainability_method_name,scalar,high,134,25,109,0,0,0,81.3
